first,second
RC00141,"Dict{String, Dict{String, Any}}(""C21015_C21016"" => Dict(""ENZYME"" => 6, ""MA"" => [8, 10], ""MEAN_MA"" => 9.0, ""DIFF"" => 2), ""C12270_C20776"" => Dict(""ENZYME"" => 3, ""MA"" => [9, 11], ""MEAN_MA"" => 10.0, ""DIFF"" => 2), ""C00097_C01419"" => Dict(""ENZYME"" => 3, ""MA"" => [5, 7], ""MEAN_MA"" => 6.0, ""DIFF"" => 2), ""C01042_C12270"" => Dict(""ENZYME"" => 3, ""MA"" => [7, 9], ""MEAN_MA"" => 8.0, ""DIFF"" => 2), ""C04877_C04882"" => Dict(""ENZYME"" => 6, ""MA"" => [43, 49], ""MEAN_MA"" => 46.0, ""DIFF"" => 6), ""C19152_C19153"" => Dict(""ENZYME"" => 6, ""MA"" => [30, 26], ""MEAN_MA"" => 28.0, ""DIFF"" => 4), ""C05951_C05952"" => Dict(""ENZYME"" => 2, ""MA"" => [21, 18], ""MEAN_MA"" => 19.5, ""DIFF"" => 3), ""C01217_C18802"" => Dict(""ENZYME"" => 6, ""MA"" => [38, 43], ""MEAN_MA"" => 40.5, ""DIFF"" => 5), ""C05726_C05729"" => Dict(""ENZYME"" => 3, ""MA"" => [6, 8], ""MEAN_MA"" => 7.0, ""DIFF"" => 2), ""C00522_C00864"" => Dict(""ENZYME"" => 3, ""MA"" => [5, 9], ""MEAN_MA"" => 7.0, ""DIFF"" => 4), ""C00051_C00669"" => Dict(""ENZYME"" => 6, ""MA"" => [11, 8], ""MEAN_MA"" => 9.5, ""DIFF"" => 3), ""C03492_C18911"" => Dict(""ENZYME"" => 6, ""MA"" => [13, 9], ""MEAN_MA"" => 11.0, ""DIFF"" => 4), ""C20277_C20278"" => Dict(""ENZYME"" => 6, ""MA"" => [6, 9], ""MEAN_MA"" => 7.5, ""DIFF"" => 3), ""C02170_C20846"" => Dict(""ENZYME"" => 3, ""MA"" => [4, 8], ""MEAN_MA"" => 6.0, ""DIFF"" => 4))"
RC00507,"Dict{String, Dict{String, Any}}(""C00166_C02763"" => Dict(""ENZYME"" => 5, ""MA"" => [8, 7], ""MEAN_MA"" => 7.5, ""DIFF"" => 1), ""C01179_C05350"" => Dict(""ENZYME"" => 5, ""MA"" => [9, 8], ""MEAN_MA"" => 8.5, ""DIFF"" => 1))"
RC00225,"Dict{String, Dict{String, Any}}(""C00232_C15987"" => Dict(""ENZYME"" => 1, ""MA"" => [4, 6], ""MEAN_MA"" => 5.0, ""DIFF"" => 2), ""C00449_C04076"" => Dict(""ENZYME"" => 1, ""MA"" => [8, 6], ""MEAN_MA"" => 7.0, ""DIFF"" => 2), ""C00315_C05665"" => Dict(""ENZYME"" => 1, ""MA"" => [5, 3], ""MEAN_MA"" => 4.0, ""DIFF"" => 2), ""C00441_C18172"" => Dict(""ENZYME"" => 1, ""MA"" => [5, 7], ""MEAN_MA"" => 6.0, ""DIFF"" => 2), ""C00750_C05665"" => Dict(""ENZYME"" => 1, ""MA"" => [5, 3], ""MEAN_MA"" => 4.0, ""DIFF"" => 2), ""C00441_C18174"" => Dict(""ENZYME"" => 1, ""MA"" => [5, 6], ""MEAN_MA"" => 5.5, ""DIFF"" => 1), ""C19567_C20361"" => Dict(""ENZYME"" => 1, ""MA"" => [9, 10], ""MEAN_MA"" => 9.5, ""DIFF"" => 1), ""C00315_C00555"" => Dict(""ENZYME"" => 1, ""MA"" => [5, 4], ""MEAN_MA"" => 4.5, ""DIFF"" => 1))"
RC02481,"Dict{String, Dict{String, Any}}(""C00877_C18026"" => Dict(""ENZYME"" => 1, ""MA"" => [37, 40], ""MEAN_MA"" => 38.5, ""DIFF"" => 3))"
RC02502,"Dict{String, Dict{String, Any}}(""C11903_C11904"" => Dict(""ENZYME"" => 1, ""MA"" => [24, 22], ""MEAN_MA"" => 23.0, ""DIFF"" => 2))"
RC03003,"Dict{String, Dict{String, Any}}(""C14144_C19945"" => Dict(""ENZYME"" => 2, ""MA"" => [39, 42], ""MEAN_MA"" => 40.5, ""DIFF"" => 3))"
RC00313,"Dict{String, Dict{String, Any}}(""C00042_C00311"" => Dict(""ENZYME"" => 4, ""MA"" => [4, 6], ""MEAN_MA"" => 5.0, ""DIFF"" => 2))"
RC03056,"Dict{String, Dict{String, Any}}(""C00120_C20386"" => Dict(""ENZYME"" => 1, ""MA"" => [11, 12], ""MEAN_MA"" => 11.5, ""DIFF"" => 1))"
RC02444,"Dict{String, Dict{String, Any}}(""C00593_C03576"" => Dict(""ENZYME"" => NaN, ""MA"" => [5, 5], ""MEAN_MA"" => 5.0, ""DIFF"" => 0), ""C00155_C00441"" => Dict(""ENZYME"" => 2, ""MA"" => [6, 5], ""MEAN_MA"" => 5.5, ""DIFF"" => 1), ""C16590_C16593"" => Dict(""ENZYME"" => NaN, ""MA"" => [5, 6], ""MEAN_MA"" => 5.5, ""DIFF"" => 1))"
RC01312,"Dict{String, Dict{String, Any}}(""C00033_C00186"" => Dict(""ENZYME"" => 1, ""MA"" => [2, 3], ""MEAN_MA"" => 2.5, ""DIFF"" => 1))"
