first,second
map00051,"Dict(""C00665"" => 10, ""C00006"" => 33, ""C00022"" => 3, ""C00247"" => 6, ""C00159"" => 6, ""C00507"" => 5, ""C00186"" => 3, ""C02492"" => 7, ""C00008"" => 19, ""C00003"" => 33, ""C00794"" => 5, ""C01487"" => 6, ""C00126"" => 45, ""C02431"" => 5, ""C00016"" => 40, ""C01352"" => 41, ""C11516"" => 12, ""C00392"" => 5, ""C01094"" => 10, ""C00636"" => 10, ""C00111"" => 7, ""C00005"" => 31, ""C03117"" => 24, ""C01222"" => 25, ""C00424"" => 3, ""C00976"" => 26, ""C01096"" => 9, ""C01099"" => 10, ""C01019"" => 5, ""C00644"" => 9, ""C02888"" => 9, ""C03827"" => 7, ""C00354"" => 10, ""C01721"" => 6, ""C18096"" => 10, ""C00096"" => 26, ""C11544"" => 8, ""C03979"" => 7, ""C00197"" => 8, ""C00258"" => 4, ""C18028"" => 5, ""C00085"" => 10, ""C00275"" => 10, ""C00577"" => 3, ""C00267"" => 6, ""C02991"" => 5, ""C01720"" => 5, ""C00118"" => 7, ""C00125"" => 45, ""C01768"" => 8, ""C04261"" => 15, ""C00615"" => 12, ""C00002"" => 20, ""C00020"" => 17, ""C00095"" => 6, ""C03267"" => 10, ""C00861"" => 6, ""C20781"" => 6, ""C01934"" => 5, ""C06192"" => 26, ""C00035"" => 19, ""C01131"" => 10, ""C05144"" => 8, ""C02962"" => 10, ""C00004"" => 30, ""C02977"" => 25, ""C02985"" => 9, ""C00144"" => 18, ""C00325"" => 24)"
map00920,"Dict(""C00979"" => 5, ""C00343"" => 13, ""C11143"" => 2, ""C00006"" => 33, ""C01180"" => 6, ""C00245"" => 5, ""C00051"" => 11, ""C11142"" => 2, ""C03576"" => 5, ""C00033"" => 2, ""C00042"" => 4, ""C03920"" => 6, ""C00409"" => 0, ""C20955"" => 39, ""C00003"" => 33, ""C00008"" => 19, ""C00580"" => 1, ""C02084"" => 5, ""C04022"" => 6, ""C00126"" => 45, ""C00320"" => 3, ""C19692"" => 1, ""C00024"" => 37, ""C00101"" => 19, ""C00084"" => 1, ""C00019"" => 20, ""C00016"" => 40, ""C01352"" => 41, ""C00071"" => 1, ""C01861"" => 4, ""C01118"" => 7, ""C23001"" => 5, ""C00010"" => 32, ""C06735"" => 2, ""C20870"" => 39, ""C00283"" => 1, ""C00005"" => 31, ""C00054"" => 18, ""C22316"" => 7, ""C23002"" => 5, ""C00109"" => 4, ""C00263"" => 5, ""C01847"" => 22, ""C00440"" => 20, ""C05819"" => 11, ""C00828"" => 10, ""C00053"" => 22, ""C00342"" => 12, ""C00065"" => 4, ""C00087"" => 1, ""C00007"" => 0, ""C03172"" => 8, ""C00073"" => 7, ""C00021"" => 19, ""C00155"" => 6, ""C01013"" => 3, ""C00059"" => 2, ""C00097"" => 5, ""C00127"" => 23, ""C00125"" => 45, ""C00027"" => 0, ""C00002"" => 20, ""C00020"" => 17, ""C00091"" => 40, ""C00511"" => 3, ""C17267"" => 12, ""C11145"" => 3, ""C08276"" => 5, ""C15521"" => 4, ""C22315"" => 6, ""C00224"" => 20, ""C00061"" => 22, ""C00067"" => 0, ""C00894"" => 37, ""C00094"" => 2, ""C00004"" => 30)"
map00830,"Dict(""C00007"" => 0, ""C05916"" => 10, ""C00010"" => 32, ""C00040"" => 37, ""C00006"" => 33, ""C00015"" => 16, ""C15492"" => 10, ""C16682"" => 10, ""C00005"" => 31, ""C00162"" => 2, ""C04233"" => 13, ""C00376"" => 10, ""C02075"" => 15, ""C00157"" => 14, ""C15493"" => 11, ""C16677"" => 12, ""C00154"" => 42, ""C02094"" => 21, ""C21797"" => 9, ""C00473"" => 10, ""C00899"" => 10, ""C03889"" => 21, ""C00249"" => 7, ""C00003"" => 33, ""C00778"" => 10, ""C16681"" => 10, ""C16680"" => 13, ""C00004"" => 30, ""C02588"" => 18, ""C11061"" => 20, ""C05917"" => 10, ""C02110"" => 10, ""C05914"" => 10, ""C03455"" => 20, ""C00167"" => 24, ""C16679"" => 11, ""C00027"" => 0, ""C00777"" => 11)"
map00770,"Dict(""C00006"" => 33, ""C01134"" => 13, ""C00022"" => 3, ""C00750"" => 5, ""C00099"" => 4, ""C04352"" => 15, ""C00008"" => 19, ""C00315"" => 5, ""C00003"" => 33, ""C00101"" => 19, ""C18911"" => 9, ""C00143"" => 22, ""C00010"" => 32, ""C00026"" => 5, ""C00005"" => 31, ""C01088"" => 6, ""C00882"" => 31, ""C00054"" => 18, ""C00183"" => 5, ""C00429"" => 5, ""C01053"" => 6, ""C00055"" => 17, ""C00007"" => 0, ""C00966"" => 6, ""C04272"" => 5, ""C00025"" => 5, ""C05665"" => 3, ""C00049"" => 5, ""C00864"" => 9, ""C05944"" => 8, ""C03492"" => 13, ""C00097"" => 5, ""C01678"" => 2, ""C00027"" => 0, ""C00044"" => 20, ""C00002"" => 20, ""C00020"" => 17, ""C02642"" => 7, ""C04079"" => 11, ""C00831"" => 9, ""C00141"" => 5, ""C00035"" => 19, ""C06010"" => 5, ""C00522"" => 5, ""C00004"" => 30, ""C00106"" => 5, ""C00063"" => 20)"
map00565,"Dict(""C00307"" => 21, ""C00006"" => 33, ""C15645"" => 6, ""C00033"" => 2, ""C04598"" => 13, ""C03372"" => 10, ""C00060"" => 2, ""C00346"" => 6, ""C00670"" => 10, ""C20825"" => 14, ""C00008"" => 19, ""C03454"" => 8, ""C00024"" => 37, ""C02773"" => 4, ""C00010"" => 32, ""C00040"" => 37, ""C01233"" => 8, ""C00114"" => 4, ""C00005"" => 31, ""C00958"" => 16, ""C04635"" => 11, ""C00054"" => 18, ""C03129"" => 5, ""C04517"" => 13, ""C04475"" => 12, ""C00053"" => 22, ""C04756"" => 14, ""C00189"" => 2, ""C00055"" => 17, ""C00015"" => 16, ""C01264"" => 10, ""C05977"" => 11, ""C03820"" => 6, ""C03201"" => 7, ""C03715"" => 8, ""C15647"" => 12, ""C05212"" => 14, ""C04317"" => 11, ""C00052"" => 23, ""C00570"" => 19, ""C00002"" => 20, ""C15646"" => 10, ""C20859"" => 10, ""C03968"" => 8, ""C04361"" => 8)"
map00010,"Dict(""C00006"" => 33, ""C05125"" => 19, ""C00103"" => 10, ""C00074"" => 8, ""C00033"" => 2, ""C00221"" => 6, ""C00022"" => 3, ""C00186"" => 3, ""C00469"" => 1, ""C00008"" => 19, ""C00003"" => 33, ""C00104"" => 19, ""C00126"" => 45, ""C00068"" => 18, ""C00024"" => 37, ""C00084"" => 1, ""C15973"" => 8, ""C00081"" => 20, ""C00010"" => 32, ""C01451"" => 11, ""C06186"" => 11, ""C00111"" => 7, ""C00005"" => 31, ""C06188"" => 15, ""C00354"" => 10, ""C00390"" => 11, ""C00036"" => 4, ""C00399"" => 11, ""C01159"" => 8, ""C00631"" => 8, ""C00197"" => 8, ""C00031"" => 6, ""C00085"" => 10, ""C15972"" => 9, ""C00267"" => 6, ""C00118"" => 7, ""C16255"" => 10, ""C00125"" => 45, ""C04261"" => 15, ""C00615"" => 12, ""C06187"" => 15, ""C00044"" => 20, ""C00002"" => 20, ""C00020"" => 17, ""C00035"" => 19, ""C00236"" => 8, ""C01172"" => 10, ""C00004"" => 30, ""C02323"" => 6, ""C00668"" => 10, ""C00530"" => 5)"
map00360,"Dict(""C12621"" => 7, ""C00006"" => 33, ""C14145"" => 41, ""C04148"" => 11, ""C11588"" => 8, ""C04479"" => 9, ""C00042"" => 4, ""C00022"" => 3, ""C01198"" => 8, ""C03589"" => 6, ""C00003"" => 33, ""C00166"" => 8, ""C19975"" => 41, ""C00272"" => 11, ""C00512"" => 38, ""C05607"" => 8, ""C00024"" => 37, ""C05629"" => 8, ""C00084"" => 1, ""C15524"" => 41, ""C00010"" => 32, ""C00079"" => 9, ""C00026"" => 5, ""C00005"" => 31, ""C05852"" => 7, ""C00423"" => 6, ""C11457"" => 8, ""C00082"" => 9, ""C12624"" => 7, ""C02232"" => 41, ""C00037"" => 3, ""C00217"" => 5, ""C05598"" => 10, ""C01772"" => 7, ""C00007"" => 0, ""C12622"" => 7, ""C12623"" => 7, ""C00025"" => 5, ""C02763"" => 7, ""C00041"" => 4, ""C05332"" => 6, ""C00268"" => 12, ""C00582"" => 40, ""C06207"" => 7, ""C05593"" => 7, ""C00122"" => 4, ""C04044"" => 9, ""C07086"" => 7, ""C00027"" => 0, ""C02137"" => 7, ""C00091"" => 40, ""C00064"" => 6, ""C19946"" => 41, ""C00596"" => 5, ""C02505"" => 7, ""C00601"" => 6, ""C05853"" => 6, ""C00642"" => 7, ""C02265"" => 9, ""C14144"" => 39, ""C03519"" => 11, ""C00004"" => 30, ""C20062"" => 40, ""C19945"" => 42)"
map00250,"Dict(""C00158"" => 6, ""C00334"" => 5, ""C00006"" => 33, ""C00042"" => 4, ""C00033"" => 2, ""C00022"" => 3, ""C00327"" => 9, ""C00130"" => 17, ""C00151"" => 4, ""C00008"" => 19, ""C00003"" => 33, ""C00940"" => 6, ""C00161"" => 4, ""C00024"" => 37, ""C00010"" => 32, ""C00026"" => 5, ""C12270"" => 9, ""C00005"" => 31, ""C03406"" => 11, ""C03912"" => 6, ""C00232"" => 4, ""C01042"" => 7, ""C00014"" => 1, ""C02362"" => 5, ""C00352"" => 10, ""C00037"" => 3, ""C00119"" => 10, ""C20776"" => 11, ""C00007"" => 0, ""C00025"" => 5, ""C00036"" => 4, ""C00049"" => 5, ""C00438"" => 8, ""C00402"" => 5, ""C00041"" => 4, ""C00122"" => 4, ""C00085"" => 10, ""C00027"" => 0, ""C00048"" => 3, ""C20775"" => 9, ""C00044"" => 20, ""C00002"" => 20, ""C00020"" => 17, ""C03090"" => 9, ""C00064"" => 6, ""C00152"" => 6, ""C00035"" => 19, ""C00169"" => 6, ""C00004"" => 30, ""C00062"" => 9, ""C03794"" => 22)"
map00650,"Dict(""C00332"" => 39, ""C03561"" => 39, ""C01845"" => 2, ""C00334"" => 5, ""C00006"" => 33, ""C00164"" => 4, ""C00033"" => 2, ""C00042"" => 4, ""C00810"" => 4, ""C00022"" => 3, ""C01769"" => 4, ""C02411"" => 39, ""C01384"" => 4, ""C00003"" => 33, ""C00008"" => 19, ""C06145"" => 3, ""C03044"" => 3, ""C00136"" => 37, ""C00024"" => 37, ""C20657"" => 3, ""C00016"" => 40, ""C01352"" => 41, ""C00010"" => 32, ""C06144"" => 4, ""C01089"" => 4, ""C00026"" => 5, ""C03058"" => 40, ""C00005"" => 31, ""C00232"" => 4, ""C06142"" => 3, ""C21390"" => 2, ""C00058"" => 1, ""C00497"" => 4, ""C03046"" => 3, ""C00025"" => 5, ""C01144"" => 38, ""C00741"" => 3, ""C00041"" => 4, ""C00132"" => 0, ""C11062"" => 38, ""C06146"" => 3, ""C04546"" => 5, ""C00122"" => 4, ""C00877"" => 37, ""C02630"" => 5, ""C00002"" => 20, ""C00091"" => 40, ""C00246"" => 4, ""C17530"" => 3, ""C02527"" => 8, ""C01412"" => 3, ""C02331"" => 37, ""C20783"" => 1, ""C06010"" => 5, ""C00004"" => 30, ""C00989"" => 4, ""C00207"" => 2, ""C00356"" => 41)"
map00260,"Dict(""C00546"" => 2, ""C00006"" => 33, ""C00441"" => 5, ""C00033"" => 2, ""C00022"" => 3, ""C00003"" => 33, ""C00008"" => 19, ""C00126"" => 45, ""C06231"" => 7, ""C00019"" => 20, ""C00024"" => 37, ""C00101"" => 19, ""C03508"" => 5, ""C00084"" => 1, ""C19929"" => 7, ""C00168"" => 4, ""C00143"" => 22, ""C00010"" => 32, ""C00026"" => 5, ""C00213"" => 4, ""C03194"" => 3, ""C01102"" => 9, ""C00114"" => 4, ""C00005"" => 31, ""C00283"" => 1, ""C06442"" => 7, ""C06020"" => 25, ""C00581"" => 6, ""C02737"" => 13, ""C00576"" => 4, ""C00014"" => 1, ""C00109"" => 4, ""C00263"" => 5, ""C00037"" => 3, ""C00430"" => 6, ""C00719"" => 5, ""C02051"" => 9, ""C00065"" => 4, ""C01242"" => 10, ""C00188"" => 5, ""C00055"" => 17, ""C00007"" => 0, ""C06021"" => 22, ""C00025"" => 5, ""C00049"" => 5, ""C00740"" => 4, ""C00300"" => 7, ""C03283"" => 5, ""C00073"" => 7, ""C00041"" => 4, ""C00021"" => 19, ""C00631"" => 8, ""C01005"" => 8, ""C00155"" => 6, ""C00197"" => 8, ""C00258"" => 4, ""C03082"" => 9, ""C01026"" => 5, ""C00077"" => 6, ""C00097"" => 5, ""C00118"" => 7, ""C00125"" => 45, ""C00027"" => 0, ""C00048"" => 3, ""C00002"" => 20, ""C00091"" => 40, ""C16432"" => 7, ""C05519"" => 5, ""C02972"" => 8, ""C00067"" => 0, ""C00078"" => 11, ""C02291"" => 8, ""C01888"" => 3, ""C00986"" => 2, ""C00004"" => 30, ""C00062"" => 9, ""C00086"" => 2, ""C03506"" => 13, ""C00269"" => 24, ""C03232"" => 8)"
