id,n_atoms,hybr,n_rings,counted_rings,counted_atoms,sp,sp2,sp3,ma
C02350,"Dict{Symbol, Any}(:N => 4, :H => 6, :O => 3, :C => 4)","[""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",1,11,0,10,1,6
C04706,"Dict{Symbol, Any}(:Cl => 1, :H => 3, :O => 4, :C => 6)","[""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]",1,11,0,10,1,6
C05593,"Dict{Symbol, Any}(:H => 8, :O => 3, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2""]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1,11,0,10,1,7
C06804,"Dict{Symbol, Any}(:N => 1, :H => 9, :O => 2, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2""]","[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",1,11,0,10,1,8
C00752,"Dict{Symbol, Any}(:H => 8, :O => 3, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3""]","[1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0]",1,11,0,10,1,7
C05843,"Dict{Symbol, Any}(:N => 2, :H => 8, :O => 2, :C => 7)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3""]","[1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]",1,11,0,10,1,7
C02348,"Dict{Symbol, Any}(:N => 4, :H => 6, :O => 3, :C => 4)","[""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0]",1,11,0,10,1,6
C14088,"Dict{Symbol, Any}(:H => 8, :O => 3, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2""]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1,11,0,10,1,7
C16399,"Dict{Symbol, Any}(:N => 3, :H => 11, :O => 1, :C => 7)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2"", ""sp2"", ""sp2""]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1,11,0,10,1,6
C14103,"Dict{Symbol, Any}(:H => 8, :O => 3, :C => 8)","[""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp2"", ""sp3"", ""sp2"", ""sp2""]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",1,11,0,10,1,7
