cpd	ma
C00925	18
C00934	na
C00936	6
C00958	16
C00962	6
C00963	7
C00965	7
C00972	4
C00982	21
C00991	na
C00996	na
C00997	na
C01000	na
C01003	8
C01008	2
C01015	6
C01020	7
C01021	5
C01022	na
C01025	1
C01034	10
C01041	7
C01058	na
C01062	6
C01064	29
C01074	na
C01075	10
C01077	6
C01078	9
C01086	38
C01117	9
C01119	5
C01122	38
C01141	8
C01153	4
C01167	17
C01171	10
C01183	7
C01188	4
C01190	21
C01192	15
C01200	16
C01201	31
C01203	8
C01209	5
C01211	10
C01225	9
C01229	17
C01239	9
C01240	9
C01241	13
C01242	10
C01253	36
C01256	8
C01271	6
C01281	13
C01288	25
C01289	43
C01290	27
C01293	12
C01299	31
C01306	11
C01308	12
C01311	20
C01322	0
C01324	1
C01328	1
C01334	0
C01335	0
C01336	0
C01356	na
C01370	3
C01371	1
C01389	9
C01392	14
C01432	3
C01449	15
C01450	2
C01469	20
C01488	5
C01490	15
C01499	6
C01507	5
C01518	7
C01525	2
C01545	5
C01573	16
C01579	na
C01586	9
C01592	9
C01609	na
C01612	2
C01614	4
C01616	9
C01625	7
C01628	8
C01635	na
C01636	na
C01637	na
C01638	na
C01639	na
C01640	na
C01641	na
C01642	na
C01643	na
C01644	na
C01645	na
C01646	na
C01647	na
C01648	na
C01649	na
C01650	na
C01651	na
C01652	na
C01653	na
C01656	4
C01664	0
C01673	18
C01678	2
C01702	13
C01755	1
C01756	8
C01757	na
C01764	33
C01768	8
C01771	4
C01777	7
C01779	15
C01785	5
C01792	10
C01798	7
C01810	24
C01812	3
C01816	4
C01826	5
C01838	6
C01845	2
C01866	na
C01867	na
C01870	17
C01872	1
C01876	7
C01877	6
C01883	na
C01885	6
C01918	20
C01931	25
C01958	12
C01977	37
C01978	42
C01985	na
C01997	10
C02000	3
C02003	12
C02028	3
C02031	47
C02034	15
C02038	6
C02045	4
C02047	40
C02051	9
C02055	na
C02060	44
C02073	22
C02075	15
C02084	5
C02085	7
C02097	24
C02099	9
C02100	27
C02101	29
C02103	4
C02112	6
C02119	5
C02128	19
C02130	9
C02133	6
C02143	6
C02163	40
C02174	5
C02179	5
C02188	9
C02189	8
C02205	5
C02211	17
C02214	5
C02223	3
C02237	6
C02244	na
C02248	9
C02269	5
C02282	38
C02288	na
C02297	4
C02303	7
C02307	na
C02308	na
C02315	9
C02318	4
C02320	12
C02323	6
C02336	6
C02338	5
C02339	48
C02342	na
C02345	8
C02351	5
C02352	6
C02374	18
C02385	9
C02391	3
C02403	2
C02412	23
C02415	9
C02429	10
C02430	39
C02434	3
C02436	1
C02456	na
C02471	11
C02474	16
C02475	6
C02476	5
C02478	7
C02479	5
C02489	4
C02490	7
C02492	7
C02506	na
C02508	9
C02520	9
C02530	21
C02532	8
C02534	4
C02553	27
C02554	38
C02567	7
C02582	10
C02583	8
C02592	23
C02604	5
C02616	7
C02636	7
C02661	1
C02682	na
C02684	na
C02686	21
C02687	19
C02702	30
C02707	9
C02709	8
C02715	8
C02716	9
C02729	na
C02735	7
C02737	13
C02743	8
C02745	na
C02749	6
C02755	12
C02764	32
C02773	4
C02779	6
C02780	6
C02790	na
C02797	7
C02798	7
C02805	10
C02809	16
C02816	9
C02817	10
C02838	11
C02839	43
C02846	6
C02850	6
C02863	14
C02869	na
C02871	10
C02872	15
C02882	6
C02900	7
C02912	2
C02917	2
C02921	9
C02929	4
C02940	7
C02941	na
C02944	42
C02945	7
C02960	17
C02964	7
C02965	10
C02967	33
C02972	8
C02984	26
C02986	11
C02987	38
C02988	33
C02992	28
C02997	11
C02999	12
C03000	9
C03018	7
C03021	8
C03022	10
C03023	10
