cpd	ma
C07600	5
C00233	6
C04181	6
C06010	5
C01165	5
C03064	5
C04106	5
C01180	6
C03341	6
C06102	5
C04075	7
C01110	6
C03589	6
C00671	6
C05936	6
C11950	6
C04281	7
C06719	6
C05127	7
C00450	7
C04092	7
C04294	8
C20443	5
C04282	7
C17929	6
C14845	7
C21138	6
C00606	7
C01861	4
C02876	7
C18905	7
C00436	6
C00988	7
C00179	6
C17243	6
C16484	6
C14844	6
C16483	6
C14842	6
C04592	6
C12837	6
C05335	7
C04272	5
C06056	5
C02714	5
C00073	7
C00407	6
C03943	6
C22315	6
C00855	7
C04079	5
C00123	6
C01620	5
C20313	6
C00515	6
C00077	6
C17245	6
C06103	5
C02378	6
C05147	6
C00408	6
C11519	6
C03440	6
C03241	6
C12314	6
C19706	6
C09822	6
C01157	6
C00013	4
C01149	6
C10138	6
C01210	7
C06607	5
C05679	7
C05680	7
C04122	7
C06608	5
C03375	3
C07512	3
C01801	5
C06523	5
C02480	5
C22084	5
C18232	7
C22085	5
C20231	8
C00682	6
C00975	5
C06603	6
C03824	6
C00568	7
C05585	6
C16700	6
C07054	8
C00587	7
C16592	5
C07085	5
C14418	7
C00785	8
C00805	7
C04431	5
C00156	6
C00870	7
C00903	5
C12838	5
C00108	7
C06224	5
C05658	6
C21764	8
C02380	7
C00262	7
C00147	7
C00829	5
C15607	7
C14592	6
C16400	5
C02357	7
C02505	7
C16044	7
C21166	6
C01454	6
C07211	6
C18317	5
C10700	7
C16930	6
C01004	8
C06328	6
C02370	7
C16283	7
C22920	7
C02918	8
C07086	7
C14087	6
C07215	6
C02359	7
C02364	7
C07102	6
C21105	6
C16401	5
C03765	7
C02371	7
C20464	5
C19714	7
C12312	7
C08313	6
C00561	7
C03459	5
C06030	5
C05572	6
C00922	5
C02930	5
C00026	5
C02295	5
C00940	6
C03586	6
C02394	5
C14610	6
C07189	7
C07094	6
C20522	9
C05133	8
C16570	6
C04226	7
C21103	6
C16248	6
C21104	5
C06600	7
C07097	6
C14110	6
C02933	6
C05828	9
C05281	6
C07727	7
C01504	7
C16631	8
C05528	7
C01035	8
C03078	7
C14873	5
C16656	7
C21029	8
C00074	8
C07098	5
C01929	8
C06316	6
C00483	7
C01279	7
C20267	6
C06044	6
C22887	7
C07101	6
C13638	6
C01959	8
C15606	8
C06029	5
C00819	6
C16673	6
C00025	5
C02630	5
C06031	5
C02946	7
C06104	5
C03618	5
C03196	5
C02612	5
C16323	5
C00217	5
C06074	5
C00979	5
C17948	7
C01087	5
C02614	5
C00898	5
C00064	6
C06032	5
C00302	5
C00552	5
C07084	6
C21632	4
C06231	7
C18236	5
C06575	6
C14114	7
C03619	7
C16648	6
C11499	7
C03656	6
C00684	6
C04076	6
C03826	6
C11537	7
C00966	6
C17211	7
C06762	6
C16654	7
C01053	6
C00506	8
C14463	6
C16653	6
C19757	7
C05941	7
C03239	7
C04114	7
C06006	6
C16590	5
C16272	6
C05938	6
C05825	6
C03767	6
C00860	8
C02527	8
C17930	8
C17962	8
C19156	7
C01667	5
C02989	8
C05672	8
C21403	7
C06597	4
C06598	6
C06599	5
