cpd\tma
C22443	19
C00053	22
C14153	14
C00286	21
C05923	19
C16617	20
C05606	20
C20531	21
C00081	20
C00002	20
C20553	21
C20535	21
C19835	12
C20192	15
C00307	21
C01054	15
C22004	16
C20529	19
C20530	19
C20528	20
C02477	14
C17337	18
C11899	17
C22112	17
C20187	17
C16498	18
C10811	19
C18231	19
C19832	15
C17335	17
C08624	14
C20193	15
C20191	15
C11523	16
C01943	13
C20195	16
C16253	17
C01701	14
C19819	14
C16494	17
C19918	17
C19820	17
C20200	15
C22121	14
C03640	18
C04554	14
C21176	17
C21265	18
C19799	11
C15800	17
C05109	14
C08637	15
C08615	16
C22448	15
C19801	16
C16252	17
C01301	14
C19833	18
C08616	15
C08628	15
C08902	16
C15790	17
C01902	15
C02141	18
C18002	16
C17701	16
C17584	17
C01759	15
C00908	18
C21266	17
C05446	14
C06083	14
C15799	17
C06309	15
C15801	17
C00504	22
C00415	22
C19798	12
C00101	20
C22168	23
C22172	23
C21590	18
C01750	17
C16408	20
C03951	19
C12626	18
C16409	20
C16298	19
C12249	20
C08604	20
C03206	23
C20894	18
C20952	18
C05376	22
C16195	19
C21589	20
C06570	22
C12271	19
C13777	23
C21803	23
C03646	10
C12177	19
C10538	19
C18359	20
C06799	21
C08285	17
C17374	20
C17373	20
C15974	21
C15978	21
C21245	20
C21084	16
C00044	20
C16426	22
C00700	21
C13309	16
C21310	22
C13782	21
C20554	23
C11133	23
