cpd	ma
C03735	10
C03740	9
C03761	5
C03764	9
C03766	7
C03773	9
C03798	9
C03800	9
C03802	13
C03803	30
C03806	30
C03820	6
C03823	14
C03836	10
C03837	9
C03847	11
C03849	12
C03859	30
C03861	9
C03866	25
C03874	13
C03875	12
C03880	30
C03881	12
C03889	21
C03892	12
C03895	11
C03899	15
C03901	6
C03922	7
C03939	3
C03941	9
C03946	16
C03956	23
C03957	10
C03959	8
C03968	8
C03974	10
C03998	11
C04002	6
C04010	13
C04015	13
C04017	39
C04030	5
C04036	16
C04039	38
C04046	10
C04047	20
C04061	9
C04073	5
C04074	13
C04080	5
C04087	13
C04088	8
C04090	4
C04125	8
C04131	12
C04132	12
C04136	13
C04141	12
C04142	11
C04143	27
C04144	10
C04149	35
C04152	38
