cpd	ma
C14794	11
C20853	10
C11791	15
C06093	12
C11810	15
C18016	14
C13772	12
C17256	15
C08407	15
C00410	11
C14835	10
C20792	10
C14833	10
C14795	11
C20851	11
C11875	12
C17055	14
C04042	11
C01953	13
C03681	11
C05479	11
C19621	7
C14837	10
C17700	9
C05731	9
C05480	11
C21979	12
C13712	10
C18041	11
C00208	7
C01083	7
C01235	7
C00252	7
C05400	7
C00243	7
C05399	7
C05402	7
C00089	8
C00185	7
C08822	9
C01725	7
C18042	11
C05484	10
C18277	12
C05113	11
C18271	13
C18272	13
C12393	16
C12633	13
C12390	14
C21126	13
C18347	11
C12398	16
C12399	13
C01265	12
C12374	13
C22164	15
C00961	16
C16188	12
C08588	9
C02887	13
C18682	15
C22162	14
C14838	17
C12396	14
C10722	13
C16189	14
C16755	14
C10632	16
C10434	13
C19585	15
C18679	15
C06167	13
C20445	13
C16756	15
C01829	13
C21565	15
C05175	12
C21630	11
C02106	12
C05174	13
C16754	14
C02105	12
C05178	12
C14492	16
C09541	15
C17591	13
C14864	14
C06429	9
C14868	15
C14862	13
C12208	13
C16662	13
C16728	16
C05924	20
C19595	16
C19586	16
C05349	16
C05179	16
C07572	15
C14865	14
C20265	13
C06565	15
C07184	18
C09025	16
C17951	13
C16513	10
C05949	12
C06527	16
C06526	16
C18037	14
C11790	14
C05220	16
C05556	12
C04734	19
C01103	17
C14166	14
C00144	18
C05557	13
C16427	16
C00655	18
C06564	13
C16618	19
C06193	18
C16619	18
C11854	12
C14820	12
C14812	12
C04822	12
C16527	10
C14821	12
C05965	12
C05356	12
C02165	12
C14823	12
C05966	12
C14815	12
C05954	11
C05958	12
C05955	12
C05953	12
C05957	12
C15772	16
C21818	12
C16615	19
C02538	16
C18239	17
C00761	13
C01346	16
C00705	18
C01137	18
C04778	18
C21824	12
C11867	14
C11871	13
C06176	13
C14774	11
C14773	11
C14772	12
C14775	11
C14808	12
C06118	10
C14781	12
C14810	12
C05392	12
C14813	12
C09337	15
C08357	16
C00448	12
C16507	15
C19760	12
C16826	12
C06188	15
C11857	10
C11865	14
C02035	14
C11864	15
C16533	10
C21027	15
C16698	15
C11896	13
C20854	11
C06542	15
C11853	14
C11905	13
C08412	15
C05498	13
C01176	14
C03747	12
C03205	13
C08316	8
C20852	13
C11876	13
C21650	14
C22831	13
C18038	14
C05138	12
C04518	13
C05485	13
C18040	13
C08281	8
C01243	9
C01245	9
C01277	9
C22832	13
C13713	12
C06088	9
C21133	15
C18349	12
C17742	11
C12376	13
C20637	16
C11620	12
C20583	17
C16416	13
C06162	17
C04444	13
C12400	14
C08557	15
C17757	16
C22142	13
C05191	15
C03686	13
C19562	15
C01795	15
C20575	16
C00757	17
C06533	13
C12402	15
C06890	18
C17303	16
C22960	15
C22152	15
C19589	14
C15551	17
C15510	11
C10422	12
C15509	11
C03944	14
C01699	12
C15511	12
C19592	14
C19591	14
C10157	11
C17302	14
C00852	14
C06163	17
C04118	13
C21631	10
C11755	17
C17592	16
C18678	14
C11818	13
C03329	13
C09581	14
C16607	16
C03451	14
C16661	15
C19590	15
C19594	17
C19588	17
C07475	15
C04844	15
C03112	16
C17399	17
C09244	17
C09107	17
C15563	18
C01527	13
C16514	17
C09190	15
C22928	17
C11807	18
C14861	15
C03300	16
C16431	16
C18062	17
C16620	19
C17751	17
C16449	16
C11855	13
C11869	14
C11695	12
C04853	12
C06314	12
C06315	12
C04707	11
C15685	15
C04758	11
C12650	17
C06522	18
C04352	15
C00112	18
C21750	17
C00363	17
C00015	16
C16447	16
C09782	15
C05552	15
C04835	13
C01694	15
C15612	15
C11861	11
C14814	12
C14811	12
C14809	12
C14782	12
C05960	11
C11997	11
C22250	13
C04671	12
C00584	11
C00696	11
C15450	10
C01312	13
C11672	16
C04170	15
C05490	14
C06096	14
C11860	11
C00859	15
C11868	15
C11858	11
C06094	13
C00639	11
C05959	11
C13809	11
C06241	15
C00427	12
C02198	14
C11898	13
C22945	16
C16489	15
C02160	8
C08409	15
C05497	13
C05477	13
C04555	16
C02140	14
C05488	15
C11636	16
C19624	8
C21746	13
C20979	16
C05478	14
C05487	15
C05475	13
C19623	8
C04549	14
C17582	14
C05476	13
C05483	14
C08660	17
C06092	17
C01120	14
C18295	16
C21136	16
C21131	16
C01850	15
C12377	15
C00616	16
C16417	15
C05247	16
C16548	14
C17754	16
C22143	15
C12451	16
C01897	18
C20508	15
C05315	14
C20507	17
C20453	14
C10682	12
