first,second
rn:R01071,"Dict{String, Any}(""MA_IN"" => Any[26], ""MAIN_PAIRS"" => Any[""RC02819:C00119_C02739"", ""RC03200:C00002_C02739""], ""ENZYME"" => 2, ""MA_OUT"" => Any[20, 10], ""OUT"" => [""C00002"", ""C00119""], ""IN"" => [""C02739"", ""C00013""], ""MEAN_MA"" => 20.5, ""DIFF"" => 4, ""EQUATION"" => ""C02739 + C00013 <=> C00002 + C00119"", ""RCLASS"" => Any[""RC02819"", ""RC03200""])"
rn:R03013,"Dict{String, Any}(""MA_IN"" => Any[12], ""MAIN_PAIRS"" => Any[""RC00017:C00860_C01100""], ""ENZYME"" => 3, ""MA_OUT"" => Any[8], ""OUT"" => [""C00860"", ""C00009""], ""IN"" => [""C01100"", ""C00001""], ""MEAN_MA"" => 10.0, ""DIFF"" => -4, ""EQUATION"" => ""C01100 + C00001 <=> C00860 + C00009"", ""RCLASS"" => Any[""RC00017""])"
rn:R04875,"Dict{String, Any}(""MA_IN"" => Any[8], ""MAIN_PAIRS"" => Any[""RC00680:C05565_C05829""], ""ENZYME"" => NaN, ""MA_OUT"" => Any[8], ""OUT"" => [""C05829""], ""IN"" => [""C05565"", ""C00001""], ""MEAN_MA"" => 8.0, ""DIFF"" => 0, ""EQUATION"" => ""C05565 + C00001 <=> C05829"", ""RCLASS"" => Any[""RC00680""])"
rn:R03286,"Dict{String, Any}(""MA_IN"" => Any[20, 10, 4], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00064:C01152_C01262"", ""RC00090:C00099_C01262""], ""ENZYME"" => 6, ""MA_OUT"" => Any[19, 12], ""OUT"" => [""C00008"", ""C00009"", ""C01262""], ""IN"" => [""C00002"", ""C01152"", ""C00099""], ""MEAN_MA"" => 13.416666666666668, ""DIFF"" => -3, ""EQUATION"" => ""C00002 + C01152 + C00099 <=> C00008 + C00009 + C01262"", ""RCLASS"" => Any[""RC00002"", ""RC00064"", ""RC00090""])"
rn:R04037,"Dict{String, Any}(""MA_IN"" => Any[24], ""MAIN_PAIRS"" => Any[""RC01055:C02741_C04896""], ""ENZYME"" => 3, ""MA_OUT"" => Any[23], ""OUT"" => [""C04896""], ""IN"" => [""C02741"", ""C00001""], ""MEAN_MA"" => 23.5, ""DIFF"" => -1, ""EQUATION"" => ""C02741 + C00001 <=> C04896"", ""RCLASS"" => Any[""RC01055""])"
rn:R04068,"Dict{String, Any}(""MA_IN"" => Any[20, 8], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC01067:C02835_C04437""], ""ENZYME"" => 6, ""MA_OUT"" => Any[19, 17], ""OUT"" => [""C00008"", ""C00009"", ""C04437"", ""C00013""], ""IN"" => [""C00002"", ""C02835"", ""C00119"", ""C00001""], ""MEAN_MA"" => 16.0, ""DIFF"" => 8, ""EQUATION"" => ""C00002 + C02835 + C00119 + C00001 <=> C00008 + C00009 + C04437 + C00013"", ""RCLASS"" => Any[""RC00002"", ""RC01067""])"
rn:R01163,"Dict{String, Any}(""MA_IN"" => Any[8, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00242:C00135_C01929""], ""ENZYME"" => 1, ""MA_OUT"" => Any[9, 30], ""OUT"" => [""C00135"", ""C00004"", ""C00080""], ""IN"" => [""C01929"", ""C00001"", ""C00003""], ""MEAN_MA"" => 20.0, ""DIFF"" => -2, ""EQUATION"" => ""C01929 + C00001 + C00003 <=> C00135 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00242""])"
rn:R01166,"Dict{String, Any}(""MA_IN"" => Any[11], ""MAIN_PAIRS"" => Any[""RC00064:C00135_C00386"", ""RC00090:C00099_C00386""], ""ENZYME"" => 3, ""MA_OUT"" => Any[4, 9], ""OUT"" => [""C00099"", ""C00135""], ""IN"" => [""C00386"", ""C00001""], ""MEAN_MA"" => 8.75, ""DIFF"" => 2, ""EQUATION"" => ""C00386 + C00001 <=> C00099 + C00135"", ""RCLASS"" => Any[""RC00064"", ""RC00090""])"
rn:R04283,"Dict{String, Any}(""MA_IN"" => Any[8], ""MAIN_PAIRS"" => Any[""RC01793:C00058_C03680"", ""RC01931:C03680_C05572""], ""ENZYME"" => NaN, ""MA_OUT"" => Any[6, 1], ""OUT"" => [""C05572"", ""C00058"", ""C00014""], ""IN"" => [""C03680"", ""C00001""], ""MEAN_MA"" => 5.75, ""DIFF"" => -1, ""EQUATION"" => ""C03680 + C00001 <=> C05572 + C00058 + C00014"", ""RCLASS"" => Any[""RC01793"", ""RC01931""])"
rn:R03188,"Dict{String, Any}(""MA_IN"" => Any[7], ""MAIN_PAIRS"" => Any[""RC00682:C01044_C03409""], ""ENZYME"" => 3, ""MA_OUT"" => Any[7], ""OUT"" => [""C01044"", ""C00014""], ""IN"" => [""C03409"", ""C00001""], ""MEAN_MA"" => 7.0, ""DIFF"" => 0, ""EQUATION"" => ""C03409 + C00001 <=> C01044 + C00014"", ""RCLASS"" => Any[""RC00682""])"
rn:R00526,"Dict{String, Any}(""MA_IN"" => Any[7], ""MAIN_PAIRS"" => Any[""RC00165:C00049_C01044"", ""RC00323:C00058_C01044""], ""ENZYME"" => 3, ""MA_OUT"" => Any[1, 5], ""OUT"" => [""C00058"", ""C00049""], ""IN"" => [""C01044"", ""C00001""], ""MEAN_MA"" => 5.0, ""DIFF"" => -1, ""EQUATION"" => ""C01044 + C00001 <=> C00058 + C00049"", ""RCLASS"" => Any[""RC00165"", ""RC00323""])"
rn:R04877,"Dict{String, Any}(""MA_IN"" => Any[12], ""MAIN_PAIRS"" => Any[""RC01230:C05570_C05571""], ""ENZYME"" => NaN, ""MA_OUT"" => Any[8], ""OUT"" => [""C05571"", ""C00565""], ""IN"" => [""C05570""], ""MEAN_MA"" => 10.0, ""DIFF"" => -4, ""EQUATION"" => ""C05570 <=> C05571 + C00565"", ""RCLASS"" => Any[""RC01230""])"
rn:R02286,"Dict{String, Any}(""MA_IN"" => Any[7], ""MAIN_PAIRS"" => Any[""RC00682:C00439_C01045""], ""ENZYME"" => 3, ""MA_OUT"" => Any[7], ""OUT"" => [""C01045"", ""C00014""], ""IN"" => [""C00439"", ""C00001""], ""MEAN_MA"" => 7.0, ""DIFF"" => 0, ""EQUATION"" => ""C00439 + C00001 <=> C01045 + C00014"", ""RCLASS"" => Any[""RC00682""])"
rn:R01161,"Dict{String, Any}(""MA_IN"" => Any[9, 5], ""MAIN_PAIRS"" => Any[""RC00006:C00025_C00026"", ""RC00006:C00135_C03277""], ""ENZYME"" => 2, ""MA_OUT"" => Any[9, 5], ""OUT"" => [""C03277"", ""C00025""], ""IN"" => [""C00135"", ""C00026""], ""MEAN_MA"" => 7.0, ""DIFF"" => 0, ""EQUATION"" => ""C00135 + C00026 <=> C03277 + C00025"", ""RCLASS"" => Any[""RC00006""])"
rn:R04640,"Dict{String, Any}(""MA_IN"" => Any[23], ""MAIN_PAIRS"" => Any[""RC00945:C04896_C04916""], ""ENZYME"" => 5, ""MA_OUT"" => Any[23], ""OUT"" => [""C04916""], ""IN"" => [""C04896""], ""MEAN_MA"" => 23.0, ""DIFF"" => 0, ""EQUATION"" => ""C04896 <=> C04916"", ""RCLASS"" => Any[""RC00945""])"
rn:R10330,"Dict{String, Any}(""MA_IN"" => Any[9], ""MAIN_PAIRS"" => Any[""RC00669:C00785_C20522""], ""ENZYME"" => 1, ""MA_OUT"" => Any[8], ""OUT"" => [""C00785"", ""C00030""], ""IN"" => [""C20522"", ""C00028""], ""MEAN_MA"" => 8.5, ""DIFF"" => -1, ""EQUATION"" => ""C20522 + C00028 <=> C00785 + C00030"", ""RCLASS"" => Any[""RC00669""])"
rn:R04558,"Dict{String, Any}(""MA_IN"" => Any[23, 6], ""MAIN_PAIRS"" => Any[""RC00010:C00025_C00064"", ""RC01190:C04677_C04916"", ""RC01943:C04666_C04916""], ""ENZYME"" => 4, ""MA_OUT"" => Any[12, 18, 5], ""OUT"" => [""C04666"", ""C04677"", ""C00025""], ""IN"" => [""C04916"", ""C00064""], ""MEAN_MA"" => 13.083333333333332, ""DIFF"" => 6, ""EQUATION"" => ""C04916 + C00064 <=> C04666 + C04677 + C00025"", ""RCLASS"" => Any[""RC00010"", ""RC01190"", ""RC01943""])"
rn:R00069,"Dict{String, Any}(""MA_IN"" => Any[8, 0], ""MAIN_PAIRS"" => Any[""RC00969:C03680_C05565"", ""RC02755:C00007_C00027""], ""ENZYME"" => 1, ""MA_OUT"" => Any[8, 0], ""OUT"" => [""C03680"", ""C00007"", ""C00001""], ""IN"" => [""C05565"", ""C00027""], ""MEAN_MA"" => 4.0, ""DIFF"" => 0, ""EQUATION"" => ""C05565 + C00027 <=> C03680 + C00007 + C00001"", ""RCLASS"" => Any[""RC00969"", ""RC02755""])"
rn:R02285,"Dict{String, Any}(""MA_IN"" => Any[7], ""MAIN_PAIRS"" => Any[""RC00221:C00025_C00439"", ""RC00681:C00439_C00488""], ""ENZYME"" => 3, ""MA_OUT"" => Any[5, 1], ""OUT"" => [""C00025"", ""C00488""], ""IN"" => [""C00439"", ""C00001""], ""MEAN_MA"" => 5.0, ""DIFF"" => -1, ""EQUATION"" => ""C00439 + C00001 <=> C00025 + C00488"", ""RCLASS"" => Any[""RC00221"", ""RC00681""])"
rn:R03288,"Dict{String, Any}(""MA_IN"" => Any[12], ""MAIN_PAIRS"" => Any[""RC00064:C01152_C01262"", ""RC00090:C00099_C01262""], ""ENZYME"" => 3, ""MA_OUT"" => Any[4, 10], ""OUT"" => [""C00099"", ""C01152""], ""IN"" => [""C01262"", ""C00001""], ""MEAN_MA"" => 9.5, ""DIFF"" => 2, ""EQUATION"" => ""C01262 + C00001 <=> C00099 + C01152"", ""RCLASS"" => Any[""RC00064"", ""RC00090""])"
rn:R11021,"Dict{String, Any}(""MA_IN"" => Any[21], ""MAIN_PAIRS"" => Any[""RC00064:C20994_C20995"", ""RC00090:C00025_C20995""], ""ENZYME"" => 3, ""MA_OUT"" => Any[15, 5], ""OUT"" => [""C20994"", ""C00025""], ""IN"" => [""C20995"", ""C00001""], ""MEAN_MA"" => 15.5, ""DIFF"" => -1, ""EQUATION"" => ""C20995 + C00001 <=> C20994 + C00025"", ""RCLASS"" => Any[""RC00064"", ""RC00090""])"
rn:R04282,"Dict{String, Any}(""MA_IN"" => Any[8], ""MAIN_PAIRS"" => Any[""RC02127:C03680_C16674""], ""ENZYME"" => NaN, ""MA_OUT"" => Any[8], ""OUT"" => [""C16674""], ""IN"" => [""C03680"", ""C00001""], ""MEAN_MA"" => 8.0, ""DIFF"" => 0, ""EQUATION"" => ""C03680 + C00001 <=> C16674"", ""RCLASS"" => Any[""RC02127""])"
rn:R11013,"Dict{String, Any}(""MA_IN"" => Any[11, 8], ""MAIN_PAIRS"" => Any[""RC03323:C05575_C20995"", ""RC03324:C00669_C20995""], ""ENZYME"" => 1, ""MA_OUT"" => Any[21], ""OUT"" => [""C20995"", ""C00001""], ""IN"" => [""C05575"", ""C00669"", ""C00007""], ""MEAN_MA"" => 15.25, ""DIFF"" => 2, ""EQUATION"" => ""C05575 + C00669 + C00007 <=> C20995 + C00001"", ""RCLASS"" => Any[""RC03323"", ""RC03324""])"
rn:R04035,"Dict{String, Any}(""MA_IN"" => Any[26], ""MAIN_PAIRS"" => Any[""RC00002:C02739_C02741""], ""ENZYME"" => 3, ""MA_OUT"" => Any[24], ""OUT"" => [""C02741"", ""C00013""], ""IN"" => [""C02739"", ""C00001""], ""MEAN_MA"" => 25.0, ""DIFF"" => -2, ""EQUATION"" => ""C02739 + C00001 <=> C02741 + C00013"", ""RCLASS"" => Any[""RC00002""])"
rn:R02288,"Dict{String, Any}(""MA_IN"" => Any[8], ""MAIN_PAIRS"" => Any[""RC00683:C00439_C03680""], ""ENZYME"" => 3, ""MA_OUT"" => Any[7], ""OUT"" => [""C00439""], ""IN"" => [""C03680"", ""C00001""], ""MEAN_MA"" => 7.5, ""DIFF"" => -1, ""EQUATION"" => ""C03680 + C00001 <=> C00439"", ""RCLASS"" => Any[""RC00683""])"
rn:R04674,"Dict{String, Any}(""MA_IN"" => Any[7, 0], ""MAIN_PAIRS"" => Any[""RC00062:C05127_C05827"", ""RC02755:C00007_C00027""], ""ENZYME"" => 1, ""MA_OUT"" => Any[8, 0], ""OUT"" => [""C05827"", ""C00014"", ""C00027""], ""IN"" => [""C05127"", ""C00001"", ""C00007""], ""MEAN_MA"" => 3.75, ""DIFF"" => 1, ""EQUATION"" => ""C05127 + C00001 + C00007 <=> C05827 + C00014 + C00027"", ""RCLASS"" => Any[""RC00062"", ""RC02755""])"
rn:R01159,"Dict{String, Any}(""MA_IN"" => Any[9, 20], ""MAIN_PAIRS"" => Any[""RC00003:C00019_C00021"", ""RC00333:C00135_C01152""], ""ENZYME"" => 2, ""MA_OUT"" => Any[10, 19], ""OUT"" => [""C01152"", ""C00021""], ""IN"" => [""C00135"", ""C00019""], ""MEAN_MA"" => 14.5, ""DIFF"" => 0, ""EQUATION"" => ""C00135 + C00019 <=> C01152 + C00021"", ""RCLASS"" => Any[""RC00003"", ""RC00333""])"
rn:R01169,"Dict{String, Any}(""MA_IN"" => Any[9, 20], ""MAIN_PAIRS"" => Any[""RC00003:C00019_C00021"", ""RC02308:C00135_C05575""], ""ENZYME"" => 2, ""MA_OUT"" => Any[11, 19], ""OUT"" => [""C05575"", ""C00021""], ""IN"" => [""C00135"", ""C00019"", ""C00080""], ""MEAN_MA"" => 14.75, ""DIFF"" => 1, ""EQUATION"" => ""C00135 + 3 C00019 + C00080 <=> C05575 + 3 C00021"", ""RCLASS"" => Any[""RC00003"", ""RC02308""])"
rn:R00270,"Dict{String, Any}(""MA_IN"" => Any[5], ""MAIN_PAIRS"" => Any[""RC01232:C00026_C05572""], ""ENZYME"" => NaN, ""MA_OUT"" => Any[6], ""OUT"" => [""C05572"", ""C00001""], ""IN"" => [""C00026"", ""C00014""], ""MEAN_MA"" => 5.5, ""DIFF"" => 1, ""EQUATION"" => ""C00026 + C00014 <=> C05572 + C00001"", ""RCLASS"" => Any[""RC01232""])"
rn:R04214,"Dict{String, Any}(""MA_IN"" => Any[7], ""MAIN_PAIRS"" => Any[""RC00683:C03409_C05133""], ""ENZYME"" => 3, ""MA_OUT"" => Any[8], ""OUT"" => [""C05133"", ""C00001""], ""IN"" => [""C03409""], ""MEAN_MA"" => 7.5, ""DIFF"" => 1, ""EQUATION"" => ""C03409 <=> C05133 + C00001"", ""RCLASS"" => Any[""RC00683""])"
rn:R11023,"Dict{String, Any}(""MA_IN"" => Any[15], ""MAIN_PAIRS"" => Any[""RC01784:C00022_C20994"", ""RC03328:C05570_C20994""], ""ENZYME"" => 4, ""MA_OUT"" => Any[12, 3], ""OUT"" => [""C05570"", ""C00022"", ""C00014"", ""C00028""], ""IN"" => [""C20994"", ""C00030""], ""MEAN_MA"" => 11.25, ""DIFF"" => 0, ""EQUATION"" => ""C20994 + C00030 <=> C05570 + C00022 + C00014 + C00028"", ""RCLASS"" => Any[""RC01784"", ""RC03328""])"
rn:R02287,"Dict{String, Any}(""MA_IN"" => Any[22, 5], ""MAIN_PAIRS"" => Any[""RC00221:C00025_C00439"", ""RC00223:C00101_C00664""], ""ENZYME"" => 2, ""MA_OUT"" => Any[19, 7], ""OUT"" => [""C00101"", ""C00439""], ""IN"" => [""C00664"", ""C00025""], ""MEAN_MA"" => 13.25, ""DIFF"" => -1, ""EQUATION"" => ""C00664 + C00025 <=> C00101 + C00439"", ""RCLASS"" => Any[""RC00221"", ""RC00223""])"
