first,second
rn:R08961,"Dict{String, Any}(""MA_IN"" => Any[11], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00524:C01227_C18045""], ""ENZYME"" => 1, ""MA_OUT"" => Any[13], ""OUT"" => [""C18045"", ""C03161"", ""C00001""], ""IN"" => [""C01227"", ""C00007"", ""C03024""], ""MEAN_MA"" => 12.0, ""DIFF"" => 2, ""EQUATION"" => ""C01227 + C00007 + C03024 <=> C18045 + C03161 + C00001"", ""RCLASS"" => Any[""RC00001"", ""RC00524""])"
rn:R04840,"Dict{String, Any}(""MA_IN"" => Any[13, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00154:C05476_C05478""], ""ENZYME"" => 1, ""MA_OUT"" => Any[14, 31], ""OUT"" => [""C05478"", ""C00005"", ""C00080""], ""IN"" => [""C05476"", ""C00006""], ""MEAN_MA"" => 22.75, ""DIFF"" => -1, ""EQUATION"" => ""C05476 + C00006 <=> C05478 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00154""])"
rn:R13039,"Dict{String, Any}(""MA_IN"" => Any[8], ""MAIN_PAIRS"" => Any[""RC00127:C00523_C03852""], ""ENZYME"" => 1, ""MA_OUT"" => Any[9], ""OUT"" => [""C00523"", ""C00004"", ""C00080""], ""IN"" => [""C03852"", ""C00003""], ""MEAN_MA"" => 8.5, ""DIFF"" => 1, ""EQUATION"" => ""C03852 + C00003 <=> C00523 + C00004 + C00080"", ""RCLASS"" => Any[""RC00127""])"
rn:R02840,"Dict{String, Any}(""MA_IN"" => Any[16, 30], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00146:C00735_C05489""], ""ENZYME"" => 1, ""MA_OUT"" => Any[13, 33], ""OUT"" => [""C05489"", ""C00003""], ""IN"" => [""C00735"", ""C00080"", ""C00004""], ""MEAN_MA"" => 23.0, ""DIFF"" => 0, ""EQUATION"" => ""C00735 + C00080 + C00004 <=> C05489 + C00003"", ""RCLASS"" => Any[""RC00001"", ""RC00146""])"
rn:R02214,"Dict{String, Any}(""MA_IN"" => Any[11], ""MAIN_PAIRS"" => Any[""RC00661:C00410_C03747""], ""ENZYME"" => 1, ""MA_OUT"" => Any[12], ""OUT"" => [""C03747"", ""C00028"", ""C00001""], ""IN"" => [""C00410"", ""C00030"", ""C00007""], ""MEAN_MA"" => 11.5, ""DIFF"" => 1, ""EQUATION"" => ""C00410 + C00030 + C00007 <=> C03747 + C00028 + C00001"", ""RCLASS"" => Any[""RC00661""])"
rn:R02216,"Dict{String, Any}(""MA_IN"" => Any[12, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00146:C00410_C01953""], ""ENZYME"" => 1, ""MA_OUT"" => Any[11, 30], ""OUT"" => [""C00410"", ""C00004"", ""C00080""], ""IN"" => [""C01953"", ""C00003""], ""MEAN_MA"" => 21.5, ""DIFF"" => -4, ""EQUATION"" => ""C01953 + C00003 <=> C00410 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00146""])"
rn:R03980,"Dict{String, Any}(""MA_IN"" => Any[16], ""MAIN_PAIRS"" => Any[""RC00128:C00468_C02538""], ""ENZYME"" => 3, ""MA_OUT"" => Any[12], ""OUT"" => [""C00059"", ""C00468""], ""IN"" => [""C02538"", ""C00001""], ""MEAN_MA"" => 14.0, ""DIFF"" => -4, ""EQUATION"" => ""C02538 + C00001 <=> C00059 + C00468"", ""RCLASS"" => Any[""RC00128""])"
rn:R03262,"Dict{String, Any}(""MA_IN"" => Any[14], ""MAIN_PAIRS"" => Any[""RC00257:C01124_C02140""], ""ENZYME"" => 1, ""MA_OUT"" => Any[15], ""OUT"" => [""C01124"", ""C00667"", ""C00001""], ""IN"" => [""C02140"", ""C00662"", ""C00007"", ""C00080""], ""MEAN_MA"" => 14.5, ""DIFF"" => 1, ""EQUATION"" => ""C02140 + 2 C00662 + C00007 + 2 C00080 <=> C01124 + 2 C00667 + C00001"", ""RCLASS"" => Any[""RC00257""])"
rn:R03087,"Dict{String, Any}(""MA_IN"" => Any[11], ""MAIN_PAIRS"" => Any[""RC02649:C00951_C05295""], ""ENZYME"" => 1, ""MA_OUT"" => Any[12], ""OUT"" => [""C00951"", ""C00058"", ""C03161"", ""C00001""], ""IN"" => [""C05295"", ""C00007"", ""C03024""], ""MEAN_MA"" => 11.5, ""DIFF"" => 1, ""EQUATION"" => ""C05295 + C00007 + C03024 <=> C00951 + C00058 + C03161 + C00001"", ""RCLASS"" => Any[""RC02649""])"
rn:R02355,"Dict{String, Any}(""MA_IN"" => Any[12, 31], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00046:C00468_C05298""], ""ENZYME"" => 1, ""MA_OUT"" => Any[13, 33], ""OUT"" => [""C05298"", ""C00006"", ""C00001""], ""IN"" => [""C00468"", ""C00080"", ""C00007"", ""C00005""], ""MEAN_MA"" => 22.25, ""DIFF"" => 3, ""EQUATION"" => ""C00468 + C00080 + C00007 + C00005 <=> C05298 + C00006 + C00001"", ""RCLASS"" => Any[""RC00001"", ""RC00046""])"
