first,second
rn:R04365,"Dict{String, Any}(""MA_IN"" => Any[40, 7], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C00091"", ""RC01136:C03972_C04462""], ""ENZYME"" => 2, ""MA_OUT"" => Any[32, 10], ""OUT"" => [""C00010"", ""C04462""], ""IN"" => [""C00091"", ""C03972"", ""C00001""], ""MEAN_MA"" => 22.25, ""DIFF"" => -5, ""EQUATION"" => ""C00091 + C03972 + C00001 <=> C00010 + C04462"", ""RCLASS"" => Any[""RC00004"", ""RC01136""])"
rn:R02755,"Dict{String, Any}(""MA_IN"" => Any[6, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00006:C00680_C03871""], ""ENZYME"" => 1, ""MA_OUT"" => Any[7, 31], ""OUT"" => [""C03871"", ""C00014"", ""C00005"", ""C00080""], ""IN"" => [""C00680"", ""C00006"", ""C00001""], ""MEAN_MA"" => 19.25, ""DIFF"" => -1, ""EQUATION"" => ""C00680 + C00006 + C00001 <=> C03871 + C00014 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00006""])"
rn:R04390,"Dict{String, Any}(""MA_IN"" => Any[8, 31], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00039:C05535_C11482"", ""RC00184:C04076_C05535""], ""ENZYME"" => 1, ""MA_OUT"" => Any[6, 0, 33], ""OUT"" => [""C04076"", ""C11482"", ""C00006""], ""IN"" => [""C05535"", ""C00005"", ""C00080""], ""MEAN_MA"" => 16.25, ""DIFF"" => 0, ""EQUATION"" => ""C05535 + C00005 + C00080 <=> C04076 + C11482 + C00006"", ""RCLASS"" => Any[""RC00001"", ""RC00039"", ""RC00184""])"
rn:R09778,"Dict{String, Any}(""MA_IN"" => Any[10, 5], ""MAIN_PAIRS"" => Any[""RC00006:C00025_C00026"", ""RC00062:C19888_C19889""], ""ENZYME"" => 2, ""MA_OUT"" => Any[10, 5], ""OUT"" => [""C19889"", ""C00026""], ""IN"" => [""C19888"", ""C00025""], ""MEAN_MA"" => 7.5, ""DIFF"" => 0, ""EQUATION"" => ""C19888 + C00025 <=> C19889 + C00026"", ""RCLASS"" => Any[""RC00006"", ""RC00062""])"
rn:R00271,"Dict{String, Any}(""MA_IN"" => Any[37, 5], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C00024"", ""RC00067:C00026_C01251"", ""RC02754:C00024_C01251""], ""ENZYME"" => 2, ""MA_OUT"" => Any[6, 32], ""OUT"" => [""C01251"", ""C00010""], ""IN"" => [""C00024"", ""C00001"", ""C00026""], ""MEAN_MA"" => 20.0, ""DIFF"" => -4, ""EQUATION"" => ""C00024 + C00001 + C00026 <=> C01251 + C00010"", ""RCLASS"" => Any[""RC00004"", ""RC00067"", ""RC02754""])"
rn:R02788,"Dict{String, Any}(""MA_IN"" => Any[20, 38, 6], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00064:C00680_C04877"", ""RC00090:C00692_C04877""], ""ENZYME"" => 6, ""MA_OUT"" => Any[19, 43], ""OUT"" => [""C00008"", ""C00009"", ""C04877""], ""IN"" => [""C00002"", ""C00692"", ""C00680""], ""MEAN_MA"" => 26.166666666666664, ""DIFF"" => -2, ""EQUATION"" => ""C00002 + C00692 + C00680 <=> C00008 + C00009 + C04877"", ""RCLASS"" => Any[""RC00002"", ""RC00064"", ""RC00090""])"
rn:R02734,"Dict{String, Any}(""MA_IN"" => Any[9], ""MAIN_PAIRS"" => Any[""RC00064:C00666_C04421"", ""RC00090:C00042_C04421""], ""ENZYME"" => 3, ""MA_OUT"" => Any[4, 6], ""OUT"" => [""C00042"", ""C00666""], ""IN"" => [""C04421"", ""C00001""], ""MEAN_MA"" => 7.0, ""DIFF"" => 1, ""EQUATION"" => ""C04421 + C00001 <=> C00042 + C00666"", ""RCLASS"" => Any[""RC00064"", ""RC00090""])"
rn:R07613,"Dict{String, Any}(""MA_IN"" => Any[6, 5], ""MAIN_PAIRS"" => Any[""RC00006:C00025_C00026"", ""RC01847:C00666_C03972""], ""ENZYME"" => 2, ""MA_OUT"" => Any[7, 5], ""OUT"" => [""C03972"", ""C00025"", ""C00001""], ""IN"" => [""C00666"", ""C00026""], ""MEAN_MA"" => 5.75, ""DIFF"" => 1, ""EQUATION"" => ""C00666 + C00026 <=> C03972 + C00025 + C00001"", ""RCLASS"" => Any[""RC00006"", ""RC01847""])"
rn:R10013,"Dict{String, Any}(""MA_IN"" => Any[10], ""MAIN_PAIRS"" => Any[""RC00694:C16138_C20279""], ""ENZYME"" => NaN, ""MA_OUT"" => Any[10], ""OUT"" => [""C16138"", ""C00001""], ""IN"" => [""C20279""], ""MEAN_MA"" => 10.0, ""DIFF"" => 0, ""EQUATION"" => ""C20279 <=> C16138 + C00001"", ""RCLASS"" => Any[""RC00694""])"
rn:R10010,"Dict{String, Any}(""MA_IN"" => Any[6], ""MAIN_PAIRS"" => Any[""RC02995:C00047_C20277""], ""ENZYME"" => 5, ""MA_OUT"" => Any[6], ""OUT"" => [""C20277""], ""IN"" => [""C00047""], ""MEAN_MA"" => 6.0, ""DIFF"" => 0, ""EQUATION"" => ""C00047 <=> C20277"", ""RCLASS"" => Any[""RC02995""])"
rn:R04617,"Dict{String, Any}(""MA_IN"" => Any[20, 43, 6], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00064:C00993_C04882"", ""RC00141:C04877_C04882""], ""ENZYME"" => 6, ""MA_OUT"" => Any[19, 49], ""OUT"" => [""C00008"", ""C00009"", ""C04882""], ""IN"" => [""C00002"", ""C04877"", ""C00993""], ""MEAN_MA"" => 28.5, ""DIFF"" => -1, ""EQUATION"" => ""C00002 + C04877 + C00993 <=> C00008 + C00009 + C04882"", ""RCLASS"" => Any[""RC00002"", ""RC00064"", ""RC00141""])"
rn:R10011,"Dict{String, Any}(""MA_IN"" => Any[6, 6], ""MAIN_PAIRS"" => Any[""RC00096:C00047_C20278"", ""RC00141:C20277_C20278""], ""ENZYME"" => 6, ""MA_OUT"" => Any[9], ""OUT"" => [""C20278"", ""C07305""], ""IN"" => [""C00047"", ""C20277"", ""C00002""], ""MEAN_MA"" => 7.5, ""DIFF"" => -3, ""EQUATION"" => ""C00047 + C20277 + C00002 <=> C20278 + C07305"", ""RCLASS"" => Any[""RC00096"", ""RC00141""])"
rn:R03444,"Dict{String, Any}(""MA_IN"" => Any[6], ""MAIN_PAIRS"" => Any[""RC00498:C01251_C04002""], ""ENZYME"" => 4, ""MA_OUT"" => Any[6], ""OUT"" => [""C04002"", ""C00001""], ""IN"" => [""C01251""], ""MEAN_MA"" => 6.0, ""DIFF"" => 0, ""EQUATION"" => ""C01251 <=> C04002 + C00001"", ""RCLASS"" => Any[""RC00498""])"
rn:R10147,"Dict{String, Any}(""MA_IN"" => Any[5, 3], ""MAIN_PAIRS"" => Any[""RC03062:C00441_C20258"", ""RC03063:C00022_C20258""], ""ENZYME"" => 4, ""MA_OUT"" => Any[8], ""OUT"" => [""C20258"", ""C00001""], ""IN"" => [""C00441"", ""C00022""], ""MEAN_MA"" => 6.0, ""DIFF"" => 0, ""EQUATION"" => ""C00441 + C00022 <=> C20258 + C00001"", ""RCLASS"" => Any[""RC03062"", ""RC03063""])"
rn:R10012,"Dict{String, Any}(""MA_IN"" => Any[9, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00062:C20278_C20279""], ""ENZYME"" => 1, ""MA_OUT"" => Any[10, 30], ""OUT"" => [""C20279"", ""C00014"", ""C00004"", ""C00080""], ""IN"" => [""C20278"", ""C00003"", ""C00001""], ""MEAN_MA"" => 20.5, ""DIFF"" => -2, ""EQUATION"" => ""C20278 + C00003 + C00001 <=> C20279 + C00014 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00062""])"
rn:R09777,"Dict{String, Any}(""MA_IN"" => Any[14, 31], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00684:C19887_C19888""], ""ENZYME"" => 1, ""MA_OUT"" => Any[10, 33], ""OUT"" => [""C19888"", ""C00006"", ""C00009""], ""IN"" => [""C19887"", ""C00005"", ""C00080""], ""MEAN_MA"" => 22.0, ""DIFF"" => -2, ""EQUATION"" => ""C19887 + C00005 + C00080 <=> C19888 + C00006 + C00009"", ""RCLASS"" => Any[""RC00001"", ""RC00684""])"
