first,second
rn:R00614,"Dict{String, Any}(""MA_IN"" => Any[0], ""MAIN_PAIRS"" => Any[""RC00034:C00067_C00132"", ""RC00188:C00058_C00067""], ""ENZYME"" => 1, ""MA_OUT"" => Any[1, 0], ""OUT"" => [""C00058"", ""C00132""], ""IN"" => [""C00067"", ""C00001""], ""MEAN_MA"" => 0.25, ""DIFF"" => 1, ""EQUATION"" => ""2 C00067 + C00001 <=> C00058 + C00132"", ""RCLASS"" => Any[""RC00034"", ""RC00188""])"
rn:R05789,"Dict{String, Any}(""MA_IN"" => Any[11], ""MAIN_PAIRS"" => Any[""RC00428:C11536_C11537""], ""ENZYME"" => 3, ""MA_OUT"" => Any[7], ""OUT"" => [""C11537"", ""C00009""], ""IN"" => [""C11536"", ""C00001""], ""MEAN_MA"" => 9.0, ""DIFF"" => -4, ""EQUATION"" => ""C11536 + C00001 <=> C11537 + C00009"", ""RCLASS"" => Any[""RC00428""])"
rn:R00604,"Dict{String, Any}(""MA_IN"" => Any[0, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00188:C00058_C00067""], ""ENZYME"" => 1, ""MA_OUT"" => Any[1, 30], ""OUT"" => [""C00058"", ""C00004"", ""C00080""], ""IN"" => [""C00067"", ""C00003"", ""C00001""], ""MEAN_MA"" => 16.0, ""DIFF"" => -2, ""EQUATION"" => ""C00067 + C00003 + C00001 <=> C00058 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00188""])"
rn:R00945,"Dict{String, Any}(""MA_IN"" => Any[22, 3], ""MAIN_PAIRS"" => Any[""RC00022:C00101_C00143"", ""RC00112:C00037_C00065""], ""ENZYME"" => 2, ""MA_OUT"" => Any[19, 4], ""OUT"" => [""C00101"", ""C00065""], ""IN"" => [""C00143"", ""C00037"", ""C00001""], ""MEAN_MA"" => 12.0, ""DIFF"" => -2, ""EQUATION"" => ""C00143 + C00037 + C00001 <=> C00101 + C00065"", ""RCLASS"" => Any[""RC00022"", ""RC00112""])"
rn:R08217,"Dict{String, Any}(""MA_IN"" => Any[10, 20], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00428:C04628_C16594""], ""ENZYME"" => 2, ""MA_OUT"" => Any[14, 19], ""OUT"" => [""C04628"", ""C00008""], ""IN"" => [""C16594"", ""C00002""], ""MEAN_MA"" => 15.75, ""DIFF"" => 3, ""EQUATION"" => ""C16594 + C00002 <=> C04628 + C00008"", ""RCLASS"" => Any[""RC00002"", ""RC00428""])"
rn:R10397,"Dict{String, Any}(""MA_IN"" => Any[5], ""MAIN_PAIRS"" => Any[""RC02444:C16590_C16593""], ""ENZYME"" => NaN, ""MA_OUT"" => Any[6], ""OUT"" => [""C16593""], ""IN"" => [""C16590""], ""MEAN_MA"" => 5.5, ""DIFF"" => 1, ""EQUATION"" => ""C16590 <=> C16593"", ""RCLASS"" => Any[""RC02444""])"
rn:R03390,"Dict{String, Any}(""MA_IN"" => Any[31, 38], ""MAIN_PAIRS"" => Any[""RC00197:C00862_C01001"", ""RC00870:C01217_C01274"", ""RC02881:C01001_C01274""], ""ENZYME"" => 2, ""MA_OUT"" => Any[30, 40], ""OUT"" => [""C00862"", ""C01274""], ""IN"" => [""C01001"", ""C01217""], ""MEAN_MA"" => 34.75, ""DIFF"" => 1, ""EQUATION"" => ""C01001 + C01217 <=> C00862 + C01274"", ""RCLASS"" => Any[""RC00197"", ""RC00870"", ""RC02881""])"
rn:R01256,"Dict{String, Any}(""MA_IN"" => Any[20, 4, 32], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00004:C00010_C04348"", ""RC00014:C00149_C04348""], ""ENZYME"" => 6, ""MA_OUT"" => Any[19, 39], ""OUT"" => [""C00008"", ""C00009"", ""C04348""], ""IN"" => [""C00002"", ""C00149"", ""C00010""], ""MEAN_MA"" => 23.833333333333336, ""DIFF"" => 2, ""EQUATION"" => ""C00002 + C00149 + C00010 <=> C00008 + C00009 + C04348"", ""RCLASS"" => Any[""RC00002"", ""RC00004"", ""RC00014""])"
rn:R04456,"Dict{String, Any}(""MA_IN"" => Any[36, 35], ""MAIN_PAIRS"" => Any[""RC00202:C04330_C04377"", ""RC02628:C00876_C01080""], ""ENZYME"" => 1, ""MA_OUT"" => Any[37, 34], ""OUT"" => [""C04330"", ""C01080""], ""IN"" => [""C04377"", ""C00876"", ""C00080""], ""MEAN_MA"" => 35.5, ""DIFF"" => 0, ""EQUATION"" => ""C04377 + C00876 + C00080 <=> C04330 + C01080"", ""RCLASS"" => Any[""RC00202"", ""RC02628""])"
rn:R10393,"Dict{String, Any}(""MA_IN"" => Any[7], ""MAIN_PAIRS"" => Any[""RC00618:C16597_C20581""], ""ENZYME"" => 4, ""MA_OUT"" => Any[7], ""OUT"" => [""C16597""], ""IN"" => [""C20581"", ""C00001""], ""MEAN_MA"" => 7.0, ""DIFF"" => 0, ""EQUATION"" => ""C20581 + C00001 <=> C16597"", ""RCLASS"" => Any[""RC00618""])"
