first,second
rn:R01262,"Dict{String, Any}(""MA_IN"" => Any[11, 4], ""MAIN_PAIRS"" => Any[""RC00064:C00051_C01419"", ""RC00064:C00151_C03740""], ""ENZYME"" => 2, ""MA_OUT"" => Any[7, 9], ""OUT"" => [""C01419"", ""C03740""], ""IN"" => [""C00051"", ""C00151""], ""MEAN_MA"" => 7.75, ""DIFF"" => 1, ""EQUATION"" => ""C00051 + C00151 <=> C01419 + C03740"", ""RCLASS"" => Any[""RC00064""])"
rn:R08357,"Dict{String, Any}(""MA_IN"" => Any[27, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC01003:C16567_C16568""], ""ENZYME"" => 1, ""MA_OUT"" => Any[25, 31], ""OUT"" => [""C16568"", ""C00005"", ""C00080""], ""IN"" => [""C16567"", ""C00006""], ""MEAN_MA"" => 29.0, ""DIFF"" => -4, ""EQUATION"" => ""C16567 + C00006 <=> C16568 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC01003""])"
rn:R08362,"Dict{String, Any}(""MA_IN"" => Any[25, 1], ""MAIN_PAIRS"" => Any[""RC01003:C02090_C03170"", ""RC01872:C01335_C15498""], ""ENZYME"" => 1, ""MA_OUT"" => Any[27, 0], ""OUT"" => [""C03170"", ""C00001"", ""C01335""], ""IN"" => [""C02090"", ""C15498""], ""MEAN_MA"" => 13.25, ""DIFF"" => 1, ""EQUATION"" => ""C02090 + C15498 <=> C03170 + C00001 + C01335"", ""RCLASS"" => Any[""RC01003"", ""RC01872""])"
rn:R00115,"Dict{String, Any}(""MA_IN"" => Any[11, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00011:C00051_C00127""], ""ENZYME"" => 1, ""MA_OUT"" => Any[23, 31], ""OUT"" => [""C00127"", ""C00005"", ""C00080""], ""IN"" => [""C00051"", ""C00006""], ""MEAN_MA"" => 24.5, ""DIFF"" => 10, ""EQUATION"" => ""2 C00051 + C00006 <=> C00127 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00011""])"
rn:R02743,"Dict{String, Any}(""MA_IN"" => Any[8], ""MAIN_PAIRS"" => Any[""RC00064:C00097_C00669"", ""RC00777:C00669_C01879""], ""ENZYME"" => 4, ""MA_OUT"" => Any[6, 5], ""OUT"" => [""C01879"", ""C00097""], ""IN"" => [""C00669""], ""MEAN_MA"" => 6.75, ""DIFF"" => 3, ""EQUATION"" => ""C00669 <=> C01879 + C00097"", ""RCLASS"" => Any[""RC00064"", ""RC00777""])"
rn:R03167,"Dict{String, Any}(""MA_IN"" => Any[11], ""MAIN_PAIRS"" => Any[""RC00011:C00051_C00127""], ""ENZYME"" => 1, ""MA_OUT"" => Any[23], ""OUT"" => [""C01356"", ""C00127"", ""C00001""], ""IN"" => [""C01025"", ""C00051""], ""MEAN_MA"" => 17.0, ""DIFF"" => 12, ""EQUATION"" => ""C01025 + 2 C00051 <=> C01356 + C00127 + 2 C00001"", ""RCLASS"" => Any[""RC00011""])"
rn:R01528,"Dict{String, Any}(""MA_IN"" => Any[10, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00539:C00199_C00345""], ""ENZYME"" => 1, ""MA_OUT"" => Any[9, 31], ""OUT"" => [""C00199"", ""C00011"", ""C00005"", ""C00080""], ""IN"" => [""C00345"", ""C00006""], ""MEAN_MA"" => 20.75, ""DIFF"" => -3, ""EQUATION"" => ""C00345 + C00006 <=> C00199 + C00011 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00539""])"
rn:R03984,"Dict{String, Any}(""MA_IN"" => Any[13, 23], ""MAIN_PAIRS"" => Any[""RC00011:C00051_C00127"", ""RC01043:C02587_C03684""], ""ENZYME"" => 1, ""MA_OUT"" => Any[11, 11], ""OUT"" => [""C03684"", ""C00051""], ""IN"" => [""C02587"", ""C00127"", ""C00001""], ""MEAN_MA"" => 14.5, ""DIFF"" => -14, ""EQUATION"" => ""C02587 + C00127 + C00001 <=> C03684 + 2 C00051"", ""RCLASS"" => Any[""RC00011"", ""RC01043""])"
rn:R08356,"Dict{String, Any}(""MA_IN"" => Any[29, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC01003:C16563_C16564""], ""ENZYME"" => 1, ""MA_OUT"" => Any[31, 31], ""OUT"" => [""C16564"", ""C00005"", ""C00080""], ""IN"" => [""C16563"", ""C00006""], ""MEAN_MA"" => 31.0, ""DIFF"" => 0, ""EQUATION"" => ""C16563 + C00006 <=> C16564 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC01003""])"
rn:R03821,"Dict{String, Any}(""MA_IN"" => Any[25, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC01003:C02090_C03170""], ""ENZYME"" => 1, ""MA_OUT"" => Any[27, 31], ""OUT"" => [""C03170"", ""C00005"", ""C00080""], ""IN"" => [""C02090"", ""C00006""], ""MEAN_MA"" => 29.0, ""DIFF"" => 0, ""EQUATION"" => ""C02090 + C00006 <=> C03170 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC01003""])"
