first,second
rn:R03140,"Dict{String, Any}(""MA_IN"" => Any[9], ""MAIN_PAIRS"" => Any[""RC00172:C00197_C01182"", ""RC00859:C00988_C01182""], ""ENZYME"" => 4, ""MA_OUT"" => Any[8, 7], ""OUT"" => [""C00197"", ""C00988""], ""IN"" => [""C01182"", ""C00007""], ""MEAN_MA"" => 8.25, ""DIFF"" => 6, ""EQUATION"" => ""C01182 + C00007 <=> C00197 + C00988"", ""RCLASS"" => Any[""RC00172"", ""RC00859""])"
rn:R01333,"Dict{String, Any}(""MA_IN"" => Any[2, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00080:C00160_C00266""], ""ENZYME"" => 1, ""MA_OUT"" => Any[3, 30], ""OUT"" => [""C00160"", ""C00004"", ""C00080""], ""IN"" => [""C00266"", ""C00003"", ""C00001""], ""MEAN_MA"" => 17.0, ""DIFF"" => -2, ""EQUATION"" => ""C00266 + C00003 + C00001 <=> C00160 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00080""])"
rn:R03040,"Dict{String, Any}(""MA_IN"" => Any[6, 32], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C00888"", ""RC00311:C00048_C02123""], ""ENZYME"" => 2, ""MA_OUT"" => Any[38, 3], ""OUT"" => [""C00888"", ""C00001"", ""C00048""], ""IN"" => [""C02123"", ""C00010""], ""MEAN_MA"" => 19.75, ""DIFF"" => 3, ""EQUATION"" => ""C02123 + C00010 <=> C00888 + C00001 + C00048"", ""RCLASS"" => Any[""RC00004"", ""RC00311""])"
rn:R01334,"Dict{String, Any}(""MA_IN"" => Any[7], ""MAIN_PAIRS"" => Any[""RC00017:C00160_C00988""], ""ENZYME"" => 3, ""MA_OUT"" => Any[3], ""OUT"" => [""C00160"", ""C00009""], ""IN"" => [""C00988"", ""C00001""], ""MEAN_MA"" => 5.0, ""DIFF"" => -4, ""EQUATION"" => ""C00988 + C00001 <=> C00160 + C00009"", ""RCLASS"" => Any[""RC00017""])"
rn:R00653,"Dict{String, Any}(""MA_IN"" => Any[9], ""MAIN_PAIRS"" => Any[""RC00165:C00073_C03145"", ""RC00323:C00058_C03145""], ""ENZYME"" => 3, ""MA_OUT"" => Any[1, 7], ""OUT"" => [""C00058"", ""C00073""], ""IN"" => [""C03145"", ""C00001""], ""MEAN_MA"" => 6.5, ""DIFF"" => -1, ""EQUATION"" => ""C03145 + C00001 <=> C00058 + C00073"", ""RCLASS"" => Any[""RC00165"", ""RC00323""])"
rn:R00470,"Dict{String, Any}(""MA_IN"" => Any[6], ""MAIN_PAIRS"" => Any[""RC00307:C00022_C01127"", ""RC00308:C00048_C01127""], ""ENZYME"" => 4, ""MA_OUT"" => Any[3, 3], ""OUT"" => [""C00022"", ""C00048""], ""IN"" => [""C01127""], ""MEAN_MA"" => 4.5, ""DIFF"" => 0, ""EQUATION"" => ""C01127 <=> C00022 + C00048"", ""RCLASS"" => Any[""RC00307"", ""RC00308""])"
rn:R00477,"Dict{String, Any}(""MA_IN"" => Any[7], ""MAIN_PAIRS"" => Any[""RC00310:C00036_C01990"", ""RC00311:C00048_C01990""], ""ENZYME"" => 4, ""MA_OUT"" => Any[4, 3], ""OUT"" => [""C00036"", ""C00048""], ""IN"" => [""C01990""], ""MEAN_MA"" => 5.25, ""DIFF"" => 0, ""EQUATION"" => ""C01990 <=> C00036 + C00048"", ""RCLASS"" => Any[""RC00310"", ""RC00311""])"
rn:R03146,"Dict{String, Any}(""MA_IN"" => Any[1], ""MAIN_PAIRS"" => Any[""RC02796:C00011_C00058""], ""ENZYME"" => 1, ""MA_OUT"" => Any[1], ""OUT"" => [""C00011"", ""C00998"", ""C00080""], ""IN"" => [""C00058"", ""C00995""], ""MEAN_MA"" => 1.0, ""DIFF"" => 0, ""EQUATION"" => ""C00058 + 2 C00995 <=> C00011 + 2 C00998 + 2 C00080"", ""RCLASS"" => Any[""RC02796""])"
rn:R02547,"Dict{String, Any}(""MA_IN"" => Any[5], ""MAIN_PAIRS"" => Any[""RC00743:C00552_C03548""], ""ENZYME"" => 3, ""MA_OUT"" => Any[5], ""OUT"" => [""C00552""], ""IN"" => [""C03548"", ""C00001""], ""MEAN_MA"" => 5.0, ""DIFF"" => 0, ""EQUATION"" => ""C03548 + C00001 <=> C00552"", ""RCLASS"" => Any[""RC00743""])"
rn:R13090,"Dict{String, Any}(""MA_IN"" => Any[9], ""MAIN_PAIRS"" => Any[""RC00017:C01182_C22337""], ""ENZYME"" => 3, ""MA_OUT"" => Any[9], ""OUT"" => [""C22337"", ""C00009""], ""IN"" => [""C01182"", ""C00001""], ""MEAN_MA"" => 9.0, ""DIFF"" => 0, ""EQUATION"" => ""C01182 + C00001 <=> C22337 + C00009"", ""RCLASS"" => Any[""RC00017""])"
