first,second
rn:R01003,"Dict{String, Any}(""MA_IN"" => Any[18], ""MAIN_PAIRS"" => Any[""RC00017:C00110_C00381""], ""ENZYME"" => 3, ""MA_OUT"" => Any[8], ""OUT"" => [""C00381"", ""C00009""], ""IN"" => [""C00110"", ""C00001""], ""MEAN_MA"" => 13.0, ""DIFF"" => -10, ""EQUATION"" => ""C00110 + C00001 <=> C00381 + C00009"", ""RCLASS"" => Any[""RC00017""])"
rn:R01018,"Dict{String, Any}(""MA_IN"" => Any[20, 8], ""MAIN_PAIRS"" => Any[""RC00002:C00063_C00112"", ""RC00017:C00110_C00381""], ""ENZYME"" => 2, ""MA_OUT"" => Any[18, 18], ""OUT"" => [""C00112"", ""C00110""], ""IN"" => [""C00063"", ""C00381""], ""MEAN_MA"" => 16.0, ""DIFF"" => 8, ""EQUATION"" => ""C00063 + C00381 <=> C00112 + C00110"", ""RCLASS"" => Any[""RC00002"", ""RC00017""])"
rn:R01004,"Dict{String, Any}(""MA_IN"" => Any[18], ""MAIN_PAIRS"" => Any[""RC00002:C00110_C00621""], ""ENZYME"" => 3, ""MA_OUT"" => Any[18], ""OUT"" => [""C00110"", ""C00009""], ""IN"" => [""C00621"", ""C00001""], ""MEAN_MA"" => 18.0, ""DIFF"" => 0, ""EQUATION"" => ""C00621 + C00001 <=> C00110 + C00009"", ""RCLASS"" => Any[""RC00002""])"
rn:R01005,"Dict{String, Any}(""MA_IN"" => Any[22, 18], ""MAIN_PAIRS"" => Any[""RC00005:C00015_C00029"", ""RC00005:C00110_C01246""], ""ENZYME"" => 2, ""MA_OUT"" => Any[16, 24], ""OUT"" => [""C00015"", ""C01246""], ""IN"" => [""C00029"", ""C00110""], ""MEAN_MA"" => 20.0, ""DIFF"" => 0, ""EQUATION"" => ""C00029 + C00110 <=> C00015 + C01246"", ""RCLASS"" => Any[""RC00005""])"
rn:R05969,"Dict{String, Any}(""MA_IN"" => Any[25], ""MAIN_PAIRS"" => Any[""RC00002:C00043_C00105""], ""ENZYME"" => 2, ""MA_OUT"" => Any[15], ""OUT"" => [""C00105""], ""IN"" => [""C00043"", ""C00110""], ""MEAN_MA"" => 20.0, ""DIFF"" => -10, ""EQUATION"" => ""C00043 + C00110 <=> C00105 + G00001"", ""RCLASS"" => Any[""RC00002""])"
rn:R01009,"Dict{String, Any}(""MA_IN"" => Any[26, 18], ""MAIN_PAIRS"" => Any[""RC00005:C00035_C00096"", ""RC00005:C00110_C03862""], ""ENZYME"" => 2, ""MA_OUT"" => Any[19, 24], ""OUT"" => [""C00035"", ""C03862""], ""IN"" => [""C00096"", ""C00110""], ""MEAN_MA"" => 21.75, ""DIFF"" => -1, ""EQUATION"" => ""C00096 + C00110 <=> C00035 + C03862"", ""RCLASS"" => Any[""RC00005""])"
rn:R01006,"Dict{String, Any}(""MA_IN"" => Any[24], ""MAIN_PAIRS"" => Any[""RC00005:C00110_C01246"", ""RC00078:C00031_C01246""], ""ENZYME"" => 3, ""MA_OUT"" => Any[18, 6], ""OUT"" => [""C00110"", ""C00031""], ""IN"" => [""C01246"", ""C00001""], ""MEAN_MA"" => 18.0, ""DIFF"" => 0, ""EQUATION"" => ""C01246 + C00001 <=> C00110 + C00031"", ""RCLASS"" => Any[""RC00005"", ""RC00078""])"
