first,second
rn:R03241,"Dict{String, Any}(""MA_IN"" => Any[20, 6], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00017:C01099_C01721""], ""ENZYME"" => 2, ""MA_OUT"" => Any[19, 10], ""OUT"" => [""C00008"", ""C01099""], ""IN"" => [""C00002"", ""C01721""], ""MEAN_MA"" => 13.75, ""DIFF"" => 3, ""EQUATION"" => ""C00002 + C01721 <=> C00008 + C01099"", ""RCLASS"" => Any[""RC00002"", ""RC00017""])"
rn:R00888,"Dict{String, Any}(""MA_IN"" => Any[26], ""MAIN_PAIRS"" => Any[""RC00402:C00096_C01222""], ""ENZYME"" => 4, ""MA_OUT"" => Any[25], ""OUT"" => [""C01222"", ""C00001""], ""IN"" => [""C00096""], ""MEAN_MA"" => 25.5, ""DIFF"" => -1, ""EQUATION"" => ""C00096 <=> C01222 + C00001"", ""RCLASS"" => Any[""RC00402""])"
rn:R00875,"Dict{String, Any}(""MA_IN"" => Any[5, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00085:C00095_C00794""], ""ENZYME"" => 1, ""MA_OUT"" => Any[6, 30], ""OUT"" => [""C00095"", ""C00004"", ""C00080""], ""IN"" => [""C00794"", ""C00003""], ""MEAN_MA"" => 18.5, ""DIFF"" => -2, ""EQUATION"" => ""C00794 + C00003 <=> C00095 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00085""])"
rn:R09030,"Dict{String, Any}(""MA_IN"" => Any[10], ""MAIN_PAIRS"" => Any[""RC00376:C02962_C18096""], ""ENZYME"" => 5, ""MA_OUT"" => Any[10], ""OUT"" => [""C18096""], ""IN"" => [""C02962""], ""MEAN_MA"" => 10.0, ""DIFF"" => 0, ""EQUATION"" => ""C02962 <=> C18096"", ""RCLASS"" => Any[""RC00376""])"
rn:R05768,"Dict{String, Any}(""MA_IN"" => Any[26, 8], ""MAIN_PAIRS"" => Any[""RC00005:C00035_C00096"", ""RC00397:C00197_C11516"", ""RC02748:C00096_C11516""], ""ENZYME"" => 2, ""MA_OUT"" => Any[19, 12], ""OUT"" => [""C00035"", ""C11516""], ""IN"" => [""C00096"", ""C00197""], ""MEAN_MA"" => 16.25, ""DIFF"" => -3, ""EQUATION"" => ""C00096 + C00197 <=> C00035 + C11516"", ""RCLASS"" => Any[""RC00005"", ""RC00397"", ""RC02748""])"
rn:R00885,"Dict{String, Any}(""MA_IN"" => Any[10], ""MAIN_PAIRS"" => Any[""RC00002:C00096_C00636""], ""ENZYME"" => 2, ""MA_OUT"" => Any[26], ""OUT"" => [""C00013"", ""C00096""], ""IN"" => [""C00044"", ""C00636""], ""MEAN_MA"" => 18.0, ""DIFF"" => 16, ""EQUATION"" => ""C00044 + C00636 <=> C00013 + C00096"", ""RCLASS"" => Any[""RC00002""])"
rn:R01332,"Dict{String, Any}(""MA_IN"" => Any[7], ""MAIN_PAIRS"" => Any[""RC00467:C00159_C02492""], ""ENZYME"" => 3, ""MA_OUT"" => Any[6], ""OUT"" => [""C00159""], ""IN"" => [""C02492"", ""C00001""], ""MEAN_MA"" => 6.5, ""DIFF"" => -1, ""EQUATION"" => ""C02492 + (n-1) C00001 <=> n C00159"", ""RCLASS"" => Any[""RC00467""])"
rn:R11339,"Dict{String, Any}(""MA_IN"" => Any[7], ""MAIN_PAIRS"" => Any[""RC00089:C03979_C20781""], ""ENZYME"" => 1, ""MA_OUT"" => Any[6], ""OUT"" => [""C20781"", ""C00004"", ""C00080""], ""IN"" => [""C03979"", ""C00003""], ""MEAN_MA"" => 6.5, ""DIFF"" => -1, ""EQUATION"" => ""C03979 + C00003 <=> C20781 + C00004 + C00080"", ""RCLASS"" => Any[""RC00089""])"
rn:R03688,"Dict{String, Any}(""MA_IN"" => Any[5], ""MAIN_PAIRS"" => Any[""RC00543:C01720_C03827""], ""ENZYME"" => 4, ""MA_OUT"" => Any[7], ""OUT"" => [""C03827"", ""C00001""], ""IN"" => [""C01720""], ""MEAN_MA"" => 6.0, ""DIFF"" => 2, ""EQUATION"" => ""C01720 <=> C03827 + C00001"", ""RCLASS"" => Any[""RC00543""])"
rn:R00763,"Dict{String, Any}(""MA_IN"" => Any[10], ""MAIN_PAIRS"" => Any[""RC00152:C00085_C00665""], ""ENZYME"" => 3, ""MA_OUT"" => Any[10], ""OUT"" => [""C00085"", ""C00009""], ""IN"" => [""C00665"", ""C00001""], ""MEAN_MA"" => 10.0, ""DIFF"" => 0, ""EQUATION"" => ""C00665 + C00001 <=> C00085 + C00009"", ""RCLASS"" => Any[""RC00152""])"
