first,second
rn:R04741,"Dict{String, Any}(""MA_IN"" => Any[43, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00029:C05262_C05263""], ""ENZYME"" => 1, ""MA_OUT"" => Any[42, 30], ""OUT"" => [""C05263"", ""C00004"", ""C00080""], ""IN"" => [""C05262"", ""C00003""], ""MEAN_MA"" => 37.0, ""DIFF"" => -4, ""EQUATION"" => ""C05262 + C00003 <=> C05263 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00029""])"
rn:R04170,"Dict{String, Any}(""MA_IN"" => Any[43], ""MAIN_PAIRS"" => Any[""RC01095:C03221_C05262""], ""ENZYME"" => 4, ""MA_OUT"" => Any[41], ""OUT"" => [""C03221"", ""C00001""], ""IN"" => [""C05262""], ""MEAN_MA"" => 42.0, ""DIFF"" => -2, ""EQUATION"" => ""C05262 <=> C03221 + C00001"", ""RCLASS"" => Any[""RC01095""])"
rn:R04753,"Dict{String, Any}(""MA_IN"" => Any[40, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00052:C05274_C05275""], ""ENZYME"" => 1, ""MA_OUT"" => Any[40, 31], ""OUT"" => [""C05275"", ""C00005"", ""C00080""], ""IN"" => [""C05274"", ""C00006""], ""MEAN_MA"" => 36.0, ""DIFF"" => -2, ""EQUATION"" => ""C05274 + C00006 <=> C05275 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00052""])"
rn:R04748,"Dict{String, Any}(""MA_IN"" => Any[40, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00029:C05268_C05269""], ""ENZYME"" => 1, ""MA_OUT"" => Any[39, 30], ""OUT"" => [""C05269"", ""C00004"", ""C00080""], ""IN"" => [""C05268"", ""C00003""], ""MEAN_MA"" => 35.5, ""DIFF"" => -4, ""EQUATION"" => ""C05268 + C00003 <=> C05269 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00029""])"
rn:R09450,"Dict{String, Any}(""MA_IN"" => Any[38], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C02843""], ""ENZYME"" => 3, ""MA_OUT"" => Any[32], ""OUT"" => [""C00638"", ""C00010""], ""IN"" => [""C02843"", ""C00001""], ""MEAN_MA"" => 35.0, ""DIFF"" => -6, ""EQUATION"" => ""C02843 + C00001 <=> C00638 + C00010"", ""RCLASS"" => Any[""RC00004""])"
rn:R00385,"Dict{String, Any}(""MA_IN"" => Any[33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006""], ""ENZYME"" => 1, ""MA_OUT"" => Any[31], ""OUT"" => [""C00605"", ""C00005"", ""C00080""], ""IN"" => [""C00040"", ""C00006""], ""MEAN_MA"" => 32.0, ""DIFF"" => -2, ""EQUATION"" => ""C00040 + C00006 <=> C00605 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001""])"
rn:R03989,"Dict{String, Any}(""MA_IN"" => Any[42, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00052:C02593_C05273""], ""ENZYME"" => 1, ""MA_OUT"" => Any[41, 31], ""OUT"" => [""C05273"", ""C00005"", ""C00080""], ""IN"" => [""C02593"", ""C00006""], ""MEAN_MA"" => 36.75, ""DIFF"" => -3, ""EQUATION"" => ""C02593 + C00006 <=> C05273 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00052""])"
rn:R00391,"Dict{String, Any}(""MA_IN"" => Any[37, 37], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C00040"", ""RC00326:C00024_C00264"", ""RC02997:C00040_C00264""], ""ENZYME"" => 2, ""MA_OUT"" => Any[32, 39], ""OUT"" => [""C00010"", ""C00264""], ""IN"" => [""C00040"", ""C00024""], ""MEAN_MA"" => 36.25, ""DIFF"" => -3, ""EQUATION"" => ""C00040 + C00024 <=> C00010 + C00264"", ""RCLASS"" => Any[""RC00004"", ""RC00326"", ""RC02997""])"
rn:R01278,"Dict{String, Any}(""MA_IN"" => Any[42, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00052:C00154_C05272""], ""ENZYME"" => 1, ""MA_OUT"" => Any[42, 31], ""OUT"" => [""C05272"", ""C00005"", ""C00080""], ""IN"" => [""C00154"", ""C00006""], ""MEAN_MA"" => 37.0, ""DIFF"" => -2, ""EQUATION"" => ""C00154 + C00006 <=> C05272 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00052""])"
rn:R04747,"Dict{String, Any}(""MA_IN"" => Any[38, 37], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C05270"", ""RC00326:C00024_C05267""], ""ENZYME"" => 2, ""MA_OUT"" => Any[32, 40], ""OUT"" => [""C00010"", ""C05267""], ""IN"" => [""C05270"", ""C00024""], ""MEAN_MA"" => 36.75, ""DIFF"" => -3, ""EQUATION"" => ""C05270 + C00024 <=> C00010 + C05267"", ""RCLASS"" => Any[""RC00004"", ""RC00326""])"
rn:R04740,"Dict{String, Any}(""MA_IN"" => Any[43], ""MAIN_PAIRS"" => Any[""RC01095:C05260_C05273""], ""ENZYME"" => 4, ""MA_OUT"" => Any[41], ""OUT"" => [""C05273"", ""C00001""], ""IN"" => [""C05260""], ""MEAN_MA"" => 42.0, ""DIFF"" => -2, ""EQUATION"" => ""C05260 <=> C05273 + C00001"", ""RCLASS"" => Any[""RC01095""])"
rn:R02685,"Dict{String, Any}(""MA_IN"" => Any[39], ""MAIN_PAIRS"" => Any[""RC00770:C00640_C00658""], ""ENZYME"" => 4, ""MA_OUT"" => Any[39], ""OUT"" => [""C00658"", ""C00001""], ""IN"" => [""C00640""], ""MEAN_MA"" => 39.0, ""DIFF"" => 0, ""EQUATION"" => ""C00640 <=> C00658 + C00001"", ""RCLASS"" => Any[""RC00770""])"
rn:R04742,"Dict{String, Any}(""MA_IN"" => Any[40, 37], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C05274"", ""RC00326:C00024_C05263""], ""ENZYME"" => 2, ""MA_OUT"" => Any[32, 42], ""OUT"" => [""C00010"", ""C05263""], ""IN"" => [""C05274"", ""C00024""], ""MEAN_MA"" => 37.75, ""DIFF"" => -3, ""EQUATION"" => ""C05274 + C00024 <=> C00010 + C05263"", ""RCLASS"" => Any[""RC00004"", ""RC00326""])"
rn:R03778,"Dict{String, Any}(""MA_IN"" => Any[40, 37], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C01944"", ""RC00326:C00024_C05265""], ""ENZYME"" => 2, ""MA_OUT"" => Any[32, 42], ""OUT"" => [""C00010"", ""C05265""], ""IN"" => [""C01944"", ""C00024""], ""MEAN_MA"" => 37.75, ""DIFF"" => -3, ""EQUATION"" => ""C01944 + C00024 <=> C00010 + C05265"", ""RCLASS"" => Any[""RC00004"", ""RC00326""])"
rn:R04744,"Dict{String, Any}(""MA_IN"" => Any[42], ""MAIN_PAIRS"" => Any[""RC01095:C05264_C05275""], ""ENZYME"" => 4, ""MA_OUT"" => Any[40], ""OUT"" => [""C05275"", ""C00001""], ""IN"" => [""C05264""], ""MEAN_MA"" => 41.0, ""DIFF"" => -2, ""EQUATION"" => ""C05264 <=> C05275 + C00001"", ""RCLASS"" => Any[""RC01095""])"
rn:R10827,"Dict{String, Any}(""MA_IN"" => Any[40], ""MAIN_PAIRS"" => Any[""RC01095:C20878_C20879""], ""ENZYME"" => 4, ""MA_OUT"" => Any[39], ""OUT"" => [""C20879"", ""C00001""], ""IN"" => [""C20878""], ""MEAN_MA"" => 39.5, ""DIFF"" => -1, ""EQUATION"" => ""C20878 <=> C20879 + C00001"", ""RCLASS"" => Any[""RC01095""])"
rn:R10826,"Dict{String, Any}(""MA_IN"" => Any[40, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00029:C20877_C20878""], ""ENZYME"" => 1, ""MA_OUT"" => Any[40, 31], ""OUT"" => [""C20877"", ""C00005"", ""C00080""], ""IN"" => [""C20878"", ""C00006""], ""MEAN_MA"" => 36.0, ""DIFF"" => -2, ""EQUATION"" => ""C20878 + C00006 <=> C20877 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00029""])"
rn:R03856,"Dict{String, Any}(""MA_IN"" => Any[42, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00052:C01832_C03221""], ""ENZYME"" => 1, ""MA_OUT"" => Any[41, 31], ""OUT"" => [""C03221"", ""C00005"", ""C00080""], ""IN"" => [""C01832"", ""C00006""], ""MEAN_MA"" => 36.75, ""DIFF"" => -3, ""EQUATION"" => ""C01832 + C00006 <=> C03221 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00052""])"
rn:R03858,"Dict{String, Any}(""MA_IN"" => Any[42, 37], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C01832"", ""RC00326:C00024_C05261""], ""ENZYME"" => 2, ""MA_OUT"" => Any[32, 43], ""OUT"" => [""C00010"", ""C05261""], ""IN"" => [""C01832"", ""C00024""], ""MEAN_MA"" => 38.5, ""DIFF"" => -4, ""EQUATION"" => ""C01832 + C00024 <=> C00010 + C05261"", ""RCLASS"" => Any[""RC00004"", ""RC00326""])"
