first,second
rn:R02575,"Dict{String, Any}(""MA_IN"" => Any[20, 6], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00203:C00581_C03166""], ""ENZYME"" => 2, ""MA_OUT"" => Any[19, 10], ""OUT"" => [""C00008"", ""C03166""], ""IN"" => [""C00002"", ""C00581""], ""MEAN_MA"" => 13.75, ""DIFF"" => 3, ""EQUATION"" => ""C00002 + C00581 <=> C00008 + C03166"", ""RCLASS"" => Any[""RC00002"", ""RC00203""])"
rn:R00471,"Dict{String, Any}(""MA_IN"" => Any[6], ""MAIN_PAIRS"" => Any[""RC00307:C00022_C05946"", ""RC00308:C00048_C05946""], ""ENZYME"" => 4, ""MA_OUT"" => Any[3, 3], ""OUT"" => [""C00022"", ""C00048""], ""IN"" => [""C05946""], ""MEAN_MA"" => 4.5, ""DIFF"" => 0, ""EQUATION"" => ""C05946 <=> C00022 + C00048"", ""RCLASS"" => Any[""RC00307"", ""RC00308""])"
rn:R05052,"Dict{String, Any}(""MA_IN"" => Any[6, 5], ""MAIN_PAIRS"" => Any[""RC00006:C00025_C00026"", ""RC00006:C05946_C05947""], ""ENZYME"" => 2, ""MA_OUT"" => Any[6, 5], ""OUT"" => [""C05946"", ""C00025""], ""IN"" => [""C05947"", ""C00026""], ""MEAN_MA"" => 5.5, ""DIFF"" => 0, ""EQUATION"" => ""C05947 + C00026 <=> C05946 + C00025"", ""RCLASS"" => Any[""RC00006""])"
rn:R04025,"Dict{String, Any}(""MA_IN"" => Any[5, 0], ""MAIN_PAIRS"" => Any[""RC00062:C02714_C05936"", ""RC02755:C00007_C00027""], ""ENZYME"" => 1, ""MA_OUT"" => Any[6, 0], ""OUT"" => [""C05936"", ""C00014"", ""C00027""], ""IN"" => [""C02714"", ""C00001"", ""C00007""], ""MEAN_MA"" => 2.75, ""DIFF"" => 1, ""EQUATION"" => ""C02714 + C00001 + C00007 <=> C05936 + C00014 + C00027"", ""RCLASS"" => Any[""RC00062"", ""RC02755""])"
rn:R07417,"Dict{String, Any}(""MA_IN"" => Any[8, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00080:C15700_C15767""], ""ENZYME"" => 1, ""MA_OUT"" => Any[9, 30], ""OUT"" => [""C15767"", ""C00004"", ""C00080""], ""IN"" => [""C15700"", ""C00003"", ""C00001""], ""MEAN_MA"" => 20.0, ""DIFF"" => -2, ""EQUATION"" => ""C15700 + C00003 + C00001 <=> C15767 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00080""])"
rn:R07418,"Dict{String, Any}(""MA_IN"" => Any[8, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00080:C15700_C15767""], ""ENZYME"" => 1, ""MA_OUT"" => Any[9, 31], ""OUT"" => [""C15767"", ""C00005"", ""C00080""], ""IN"" => [""C15700"", ""C00006"", ""C00001""], ""MEAN_MA"" => 20.25, ""DIFF"" => -1, ""EQUATION"" => ""C15700 + C00006 + C00001 <=> C15767 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00080""])"
rn:R08714,"Dict{String, Any}(""MA_IN"" => Any[3, 3], ""MAIN_PAIRS"" => Any[""RC00008:C00022_C00041"", ""RC00062:C00134_C00555""], ""ENZYME"" => 2, ""MA_OUT"" => Any[4, 4], ""OUT"" => [""C00555"", ""C00041""], ""IN"" => [""C00134"", ""C00022""], ""MEAN_MA"" => 3.5, ""DIFF"" => 2, ""EQUATION"" => ""C00134 + C00022 <=> C00555 + C00041"", ""RCLASS"" => Any[""RC00008"", ""RC00062""])"
rn:R07419,"Dict{String, Any}(""MA_IN"" => Any[9], ""MAIN_PAIRS"" => Any[""RC00090:C00025_C15767"", ""RC00096:C00334_C15767""], ""ENZYME"" => 3, ""MA_OUT"" => Any[5, 5], ""OUT"" => [""C00334"", ""C00025""], ""IN"" => [""C15767"", ""C00001""], ""MEAN_MA"" => 7.0, ""DIFF"" => 1, ""EQUATION"" => ""C15767 + C00001 <=> C00334 + C00025"", ""RCLASS"" => Any[""RC00090"", ""RC00096""])"
rn:R09079,"Dict{String, Any}(""MA_IN"" => Any[3, 5, 31], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00053:C00134_C18172"", ""RC00225:C00441_C18172""], ""ENZYME"" => 1, ""MA_OUT"" => Any[7, 33], ""OUT"" => [""C18172"", ""C00001"", ""C00006""], ""IN"" => [""C00134"", ""C00441"", ""C00005"", ""C00080""], ""MEAN_MA"" => 16.5, ""DIFF"" => 1, ""EQUATION"" => ""C00134 + C00441 + C00005 + C00080 <=> C18172 + C00001 + C00006"", ""RCLASS"" => Any[""RC00001"", ""RC00053"", ""RC00225""])"
rn:R01155,"Dict{String, Any}(""MA_IN"" => Any[3, 5], ""MAIN_PAIRS"" => Any[""RC00006:C00025_C00026"", ""RC00062:C00134_C00555""], ""ENZYME"" => 2, ""MA_OUT"" => Any[4, 5], ""OUT"" => [""C00555"", ""C00025""], ""IN"" => [""C00134"", ""C00026""], ""MEAN_MA"" => 4.25, ""DIFF"" => 1, ""EQUATION"" => ""C00134 + C00026 <=> C00555 + C00025"", ""RCLASS"" => Any[""RC00006"", ""RC00062""])"
rn:R05053,"Dict{String, Any}(""MA_IN"" => Any[5, 6], ""MAIN_PAIRS"" => Any[""RC00006:C00036_C00402"", ""RC00006:C05946_C05947""], ""ENZYME"" => 2, ""MA_OUT"" => Any[4, 6], ""OUT"" => [""C00036"", ""C05947""], ""IN"" => [""C00402"", ""C05946""], ""MEAN_MA"" => 5.25, ""DIFF"" => -1, ""EQUATION"" => ""C00402 + C05946 <=> C00036 + C05947"", ""RCLASS"" => Any[""RC00006""])"
rn:R01881,"Dict{String, Any}(""MA_IN"" => Any[20, 7], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00203:C00300_C02305""], ""ENZYME"" => 2, ""MA_OUT"" => Any[19, 11], ""OUT"" => [""C00008"", ""C02305""], ""IN"" => [""C00002"", ""C00300""], ""MEAN_MA"" => 14.25, ""DIFF"" => 3, ""EQUATION"" => ""C00002 + C00300 <=> C00008 + C02305"", ""RCLASS"" => Any[""RC00002"", ""RC00203""])"
rn:R03295,"Dict{String, Any}(""MA_IN"" => Any[6], ""MAIN_PAIRS"" => Any[""RC00054:C01157_C04281""], ""ENZYME"" => 1, ""MA_OUT"" => Any[7], ""OUT"" => [""C04281"", ""C15603""], ""IN"" => [""C01157"", ""C15602""], ""MEAN_MA"" => 6.5, ""DIFF"" => 1, ""EQUATION"" => ""C01157 + C15602 <=> C04281 + C15603"", ""RCLASS"" => Any[""RC00054""])"
rn:R11625,"Dict{String, Any}(""MA_IN"" => Any[6], ""MAIN_PAIRS"" => Any[""RC01139:C03564_C19706""], ""ENZYME"" => 4, ""MA_OUT"" => Any[6], ""OUT"" => [""C03564"", ""C00001""], ""IN"" => [""C19706""], ""MEAN_MA"" => 6.0, ""DIFF"" => 0, ""EQUATION"" => ""C19706 <=> C03564 + C00001"", ""RCLASS"" => Any[""RC01139""])"
rn:R11819,"Dict{String, Any}(""MA_IN"" => Any[6], ""MAIN_PAIRS"" => Any[""RC03501:C01157_C03912""], ""ENZYME"" => 4, ""MA_OUT"" => Any[6], ""OUT"" => [""C03912"", ""C00001""], ""IN"" => [""C01157""], ""MEAN_MA"" => 6.0, ""DIFF"" => 0, ""EQUATION"" => ""C01157 <=> C03912 + C00001"", ""RCLASS"" => Any[""RC03501""])"
rn:R12085,"Dict{String, Any}(""MA_IN"" => Any[37, 5], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C00024"", ""RC00064:C01165_C01250""], ""ENZYME"" => 2, ""MA_OUT"" => Any[32, 7], ""OUT"" => [""C00010"", ""C01250""], ""IN"" => [""C00024"", ""C01165""], ""MEAN_MA"" => 20.25, ""DIFF"" => -3, ""EQUATION"" => ""C00024 + C01165 <=> C00010 + C01250"", ""RCLASS"" => Any[""RC00004"", ""RC00064""])"
rn:R01249,"Dict{String, Any}(""MA_IN"" => Any[6, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00135:C00148_C03564""], ""ENZYME"" => 1, ""MA_OUT"" => Any[6, 31], ""OUT"" => [""C03564"", ""C00005"", ""C00080""], ""IN"" => [""C00148"", ""C00006""], ""MEAN_MA"" => 19.0, ""DIFF"" => -2, ""EQUATION"" => ""C00148 + C00006 <=> C03564 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00135""])"
rn:R00245,"Dict{String, Any}(""MA_IN"" => Any[5, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00080:C00025_C01165""], ""ENZYME"" => 1, ""MA_OUT"" => Any[5, 30], ""OUT"" => [""C00025"", ""C00004"", ""C00080""], ""IN"" => [""C01165"", ""C00003"", ""C00001""], ""MEAN_MA"" => 18.25, ""DIFF"" => -3, ""EQUATION"" => ""C01165 + C00003 + C00001 <=> C00025 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00080""])"
rn:R00551,"Dict{String, Any}(""MA_IN"" => Any[9], ""MAIN_PAIRS"" => Any[""RC00024:C00062_C00077"", ""RC00329:C00062_C00086""], ""ENZYME"" => 3, ""MA_OUT"" => Any[6, 2], ""OUT"" => [""C00077"", ""C00086""], ""IN"" => [""C00062"", ""C00001""], ""MEAN_MA"" => 6.5, ""DIFF"" => -1, ""EQUATION"" => ""C00062 + C00001 <=> C00077 + C00086"", ""RCLASS"" => Any[""RC00024"", ""RC00329""])"
rn:R03187,"Dict{String, Any}(""MA_IN"" => Any[20, 5], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00632:C01043_C02565""], ""ENZYME"" => 3, ""MA_OUT"" => Any[19, 7], ""OUT"" => [""C00008"", ""C00009"", ""C01043""], ""IN"" => [""C00002"", ""C02565"", ""C00001""], ""MEAN_MA"" => 12.75, ""DIFF"" => 1, ""EQUATION"" => ""C00002 + C02565 + 2 C00001 <=> C00008 + C00009 + C01043"", ""RCLASS"" => Any[""RC00002"", ""RC00632""])"
rn:R01255,"Dict{String, Any}(""MA_IN"" => Any[6], ""MAIN_PAIRS"" => Any[""RC00479:C00148_C00763""], ""ENZYME"" => 5, ""MA_OUT"" => Any[6], ""OUT"" => [""C00763""], ""IN"" => [""C00148""], ""MEAN_MA"" => 6.0, ""DIFF"" => 0, ""EQUATION"" => ""C00148 <=> C00763"", ""RCLASS"" => Any[""RC00479""])"
rn:R01154,"Dict{String, Any}(""MA_IN"" => Any[37, 3], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C00024"", ""RC00096:C00134_C02714""], ""ENZYME"" => 2, ""MA_OUT"" => Any[32, 5], ""OUT"" => [""C00010"", ""C02714""], ""IN"" => [""C00024"", ""C00134""], ""MEAN_MA"" => 19.25, ""DIFF"" => -3, ""EQUATION"" => ""C00024 + C00134 <=> C00010 + C02714"", ""RCLASS"" => Any[""RC00004"", ""RC00096""])"
rn:R04189,"Dict{String, Any}(""MA_IN"" => Any[12], ""MAIN_PAIRS"" => Any[""RC00024:C03296_C03415""], ""ENZYME"" => 3, ""MA_OUT"" => Any[9], ""OUT"" => [""C03415"", ""C00011"", ""C00014""], ""IN"" => [""C03296"", ""C00001""], ""MEAN_MA"" => 10.5, ""DIFF"" => -3, ""EQUATION"" => ""C03296 + 2 C00001 <=> C03415 + C00011 + 2 C00014"", ""RCLASS"" => Any[""RC00024""])"
rn:R02869,"Dict{String, Any}(""MA_IN"" => Any[18, 5], ""MAIN_PAIRS"" => Any[""RC00021:C00170_C01137"", ""RC00053:C00315_C00750""], ""ENZYME"" => 2, ""MA_OUT"" => Any[14, 5], ""OUT"" => [""C00170"", ""C00750""], ""IN"" => [""C01137"", ""C00315""], ""MEAN_MA"" => 10.5, ""DIFF"" => -4, ""EQUATION"" => ""C01137 + C00315 <=> C00170 + C00750"", ""RCLASS"" => Any[""RC00021"", ""RC00053""])"
rn:R04217,"Dict{String, Any}(""MA_IN"" => Any[9, 5], ""MAIN_PAIRS"" => Any[""RC00006:C00025_C00026"", ""RC00062:C03415_C05932""], ""ENZYME"" => 2, ""MA_OUT"" => Any[8, 5], ""OUT"" => [""C05932"", ""C00025""], ""IN"" => [""C03415"", ""C00026""], ""MEAN_MA"" => 6.75, ""DIFF"" => -1, ""EQUATION"" => ""C03415 + C00026 <=> C05932 + C00025"", ""RCLASS"" => Any[""RC00006"", ""RC00062""])"
rn:R00565,"Dict{String, Any}(""MA_IN"" => Any[9, 3], ""MAIN_PAIRS"" => Any[""RC00024:C00037_C00581"", ""RC00024:C00062_C00077"", ""RC02749:C00062_C00581""], ""ENZYME"" => 2, ""MA_OUT"" => Any[6, 6], ""OUT"" => [""C00077"", ""C00581""], ""IN"" => [""C00062"", ""C00037""], ""MEAN_MA"" => 6.0, ""DIFF"" => 0, ""EQUATION"" => ""C00062 + C00037 <=> C00077 + C00581"", ""RCLASS"" => Any[""RC00024"", ""RC02749""])"
rn:R05049,"Dict{String, Any}(""MA_IN"" => Any[8, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00080:C05931_C05932""], ""ENZYME"" => 1, ""MA_OUT"" => Any[8, 30], ""OUT"" => [""C05931"", ""C00004"", ""C00080""], ""IN"" => [""C05932"", ""C00003"", ""C00001""], ""MEAN_MA"" => 19.75, ""DIFF"" => -3, ""EQUATION"" => ""C05932 + C00003 + C00001 <=> C05931 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00080""])"
rn:R04445,"Dict{String, Any}(""MA_IN"" => Any[7, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00255:C04281_C05947""], ""ENZYME"" => 1, ""MA_OUT"" => Any[6, 31], ""OUT"" => [""C05947"", ""C00005"", ""C00080""], ""IN"" => [""C04281"", ""C00006"", ""C00001""], ""MEAN_MA"" => 19.25, ""DIFF"" => -3, ""EQUATION"" => ""C04281 + C00006 + 2 C00001 <=> C05947 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00255""])"
rn:R09496,"Dict{String, Any}(""MA_IN"" => Any[6], ""MAIN_PAIRS"" => Any[""RC00135:C00763_C03564""], ""ENZYME"" => 1, ""MA_OUT"" => Any[6], ""OUT"" => [""C03564"", ""C00030""], ""IN"" => [""C00763"", ""C00028""], ""MEAN_MA"" => 6.0, ""DIFF"" => 0, ""EQUATION"" => ""C00763 + C00028 <=> C03564 + C00030"", ""RCLASS"" => Any[""RC00135""])"
rn:R01914,"Dict{String, Any}(""MA_IN"" => Any[5, 0], ""MAIN_PAIRS"" => Any[""RC00053:C00315_C00986"", ""RC00225:C00315_C00555"", ""RC02755:C00007_C00027""], ""ENZYME"" => 1, ""MA_OUT"" => Any[2, 4, 0], ""OUT"" => [""C00986"", ""C00555"", ""C00027""], ""IN"" => [""C00315"", ""C00007"", ""C00001""], ""MEAN_MA"" => 2.25, ""DIFF"" => 1, ""EQUATION"" => ""C00315 + C00007 + C00001 <=> C00986 + C00555 + C00027"", ""RCLASS"" => Any[""RC00053"", ""RC00225"", ""RC02755""])"
rn:R12706,"Dict{String, Any}(""MA_IN"" => Any[11], ""MAIN_PAIRS"" => Any[""RC00283:C00062_C01682""], ""ENZYME"" => NaN, ""MA_OUT"" => Any[9], ""OUT"" => [""C00062"", ""C00026"", ""C00030""], ""IN"" => [""C01682"", ""C00001"", ""C00028""], ""MEAN_MA"" => 10.0, ""DIFF"" => -2, ""EQUATION"" => ""C01682 + C00001 + C00028 <=> C00062 + C00026 + C00030"", ""RCLASS"" => Any[""RC00283""])"
rn:R13148,"Dict{String, Any}(""MA_IN"" => Any[5], ""MAIN_PAIRS"" => Any[""RC00080:C00025_C01165""], ""ENZYME"" => 1, ""MA_OUT"" => Any[5], ""OUT"" => [""C00025"", ""C00005"", ""C00080""], ""IN"" => [""C01165"", ""C00006"", ""C00001""], ""MEAN_MA"" => 5.0, ""DIFF"" => 0, ""EQUATION"" => ""C01165 + C00006 + C00001 <=> C00025 + C00005 + C00080"", ""RCLASS"" => Any[""RC00080""])"
rn:R00178,"Dict{String, Any}(""MA_IN"" => Any[20], ""MAIN_PAIRS"" => Any[""RC00299:C00019_C01137""], ""ENZYME"" => 4, ""MA_OUT"" => Any[18], ""OUT"" => [""C01137"", ""C00011""], ""IN"" => [""C00019"", ""C00080""], ""MEAN_MA"" => 19.0, ""DIFF"" => -2, ""EQUATION"" => ""C00019 + C00080 <=> C01137 + C00011"", ""RCLASS"" => Any[""RC00299""])"
rn:R02549,"Dict{String, Any}(""MA_IN"" => Any[4, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00080:C00334_C00555""], ""ENZYME"" => 1, ""MA_OUT"" => Any[5, 30], ""OUT"" => [""C00334"", ""C00004"", ""C00080""], ""IN"" => [""C00555"", ""C00003"", ""C00001""], ""MEAN_MA"" => 18.0, ""DIFF"" => -2, ""EQUATION"" => ""C00555 + C00003 + C00001 <=> C00334 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00080""])"
rn:R00111,"Dict{String, Any}(""MA_IN"" => Any[31, 10], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC01044:C00327_C05933"", ""RC02757:C00533_C05933""], ""ENZYME"" => 1, ""MA_OUT"" => Any[33, 0, 9], ""OUT"" => [""C00006"", ""C00533"", ""C00327"", ""C00001""], ""IN"" => [""C00005"", ""C05933"", ""C00007"", ""C00080""], ""MEAN_MA"" => 17.25, ""DIFF"" => 1, ""EQUATION"" => ""C00005 + 2 C05933 + 2 C00007 + C00080 <=> C00006 + 2 C00533 + 2 C00327 + 2 C00001"", ""RCLASS"" => Any[""RC00001"", ""RC01044"", ""RC02757""])"
rn:R01566,"Dict{String, Any}(""MA_IN"" => Any[7], ""MAIN_PAIRS"" => Any[""RC00548:C00086_C00300"", ""RC00549:C00213_C00300""], ""ENZYME"" => 3, ""MA_OUT"" => Any[4, 2], ""OUT"" => [""C00213"", ""C00086""], ""IN"" => [""C00300"", ""C00001""], ""MEAN_MA"" => 5.0, ""DIFF"" => -1, ""EQUATION"" => ""C00300 + C00001 <=> C00213 + C00086"", ""RCLASS"" => Any[""RC00548"", ""RC00549""])"
