first,second
rn:R01914,"Dict{String, Any}(""MA_IN"" => Any[5, 0], ""MAIN_PAIRS"" => Any[""RC00053:C00315_C00986"", ""RC00225:C00315_C00555"", ""RC02755:C00007_C00027""], ""ENZYME"" => 1, ""MA_OUT"" => Any[2, 4, 0], ""OUT"" => [""C00986"", ""C00555"", ""C00027""], ""IN"" => [""C00315"", ""C00007"", ""C00001""], ""MEAN_MA"" => 2.25, ""DIFF"" => 1, ""EQUATION"" => ""C00315 + C00007 + C00001 <=> C00986 + C00555 + C00027"", ""RCLASS"" => Any[""RC00053"", ""RC00225"", ""RC02755""])"
rn:R12356,"Dict{String, Any}(""MA_IN"" => Any[37], ""MAIN_PAIRS"" => Any[""RC00095:C00100_C00894""], ""ENZYME"" => 1, ""MA_OUT"" => Any[37], ""OUT"" => [""C00894"", ""C00027""], ""IN"" => [""C00100"", ""C00007""], ""MEAN_MA"" => 37.0, ""DIFF"" => 0, ""EQUATION"" => ""C00100 + C00007 <=> C00894 + C00027"", ""RCLASS"" => Any[""RC00095""])"
rn:R09076,"Dict{String, Any}(""MA_IN"" => Any[5, 0], ""MAIN_PAIRS"" => Any[""RC00053:C00315_C00750"", ""RC00225:C00750_C05665"", ""RC02755:C00007_C00027""], ""ENZYME"" => 1, ""MA_OUT"" => Any[5, 3, 0], ""OUT"" => [""C00315"", ""C05665"", ""C00027""], ""IN"" => [""C00750"", ""C00007"", ""C00001""], ""MEAN_MA"" => 2.583333333333333, ""DIFF"" => 3, ""EQUATION"" => ""C00750 + C00007 + C00001 <=> C00315 + C05665 + C00027"", ""RCLASS"" => Any[""RC00053"", ""RC00225"", ""RC02755""])"
rn:R02549,"Dict{String, Any}(""MA_IN"" => Any[4, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00080:C00334_C00555""], ""ENZYME"" => 1, ""MA_OUT"" => Any[5, 30], ""OUT"" => [""C00334"", ""C00004"", ""C00080""], ""IN"" => [""C00555"", ""C00003"", ""C00001""], ""MEAN_MA"" => 18.0, ""DIFF"" => -2, ""EQUATION"" => ""C00555 + C00003 + C00001 <=> C00334 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00080""])"
rn:R04432,"Dict{String, Any}(""MA_IN"" => Any[37], ""MAIN_PAIRS"" => Any[""RC00095:C00100_C00894""], ""ENZYME"" => 1, ""MA_OUT"" => Any[37], ""OUT"" => [""C04570"", ""C00894""], ""IN"" => [""C04253"", ""C00100""], ""MEAN_MA"" => 37.0, ""DIFF"" => 0, ""EQUATION"" => ""C04253 + C00100 <=> C04570 + C00894"", ""RCLASS"" => Any[""RC00095""])"
rn:R00908,"Dict{String, Any}(""MA_IN"" => Any[4, 5], ""MAIN_PAIRS"" => Any[""RC00006:C00025_C00026"", ""RC00062:C00099_C00222""], ""ENZYME"" => 2, ""MA_OUT"" => Any[3, 5], ""OUT"" => [""C00222"", ""C00025""], ""IN"" => [""C00099"", ""C00026""], ""MEAN_MA"" => 4.25, ""DIFF"" => -1, ""EQUATION"" => ""C00099 + C00026 <=> C00222 + C00025"", ""RCLASS"" => Any[""RC00006"", ""RC00062""])"
rn:R00912,"Dict{String, Any}(""MA_IN"" => Any[20, 9, 4], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00064:C00062_C05340"", ""RC00090:C00099_C05340""], ""ENZYME"" => 6, ""MA_OUT"" => Any[19, 11], ""OUT"" => [""C00008"", ""C00009"", ""C05340""], ""IN"" => [""C00002"", ""C00062"", ""C00099""], ""MEAN_MA"" => 13.0, ""DIFF"" => -3, ""EQUATION"" => ""C00002 + C00062 + C00099 <=> C00008 + C00009 + C05340"", ""RCLASS"" => Any[""RC00002"", ""RC00064"", ""RC00090""])"
rn:R01164,"Dict{String, Any}(""MA_IN"" => Any[20, 9, 4], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00064:C00135_C00386"", ""RC00090:C00099_C00386""], ""ENZYME"" => 6, ""MA_OUT"" => Any[19, 11], ""OUT"" => [""C00008"", ""C00009"", ""C00386""], ""IN"" => [""C00002"", ""C00135"", ""C00099""], ""MEAN_MA"" => 13.0, ""DIFF"" => -3, ""EQUATION"" => ""C00002 + C00135 + C00099 <=> C00008 + C00009 + C00386"", ""RCLASS"" => Any[""RC00002"", ""RC00064"", ""RC00090""])"
rn:R01607,"Dict{String, Any}(""MA_IN"" => Any[3, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00005_C00006"", ""RC00080:C00222_C00383""], ""ENZYME"" => 1, ""MA_OUT"" => Any[3, 31], ""OUT"" => [""C00383"", ""C00005"", ""C00080""], ""IN"" => [""C00222"", ""C00006"", ""C00001""], ""MEAN_MA"" => 17.5, ""DIFF"" => -2, ""EQUATION"" => ""C00222 + C00006 + C00001 <=> C00383 + C00005 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00080""])"
rn:R03158,"Dict{String, Any}(""MA_IN"" => Any[3, 32], ""MAIN_PAIRS"" => Any[""RC00004:C00010_C05668"", ""RC00014:C01013_C05668""], ""ENZYME"" => 3, ""MA_OUT"" => Any[37], ""OUT"" => [""C05668"", ""C00001""], ""IN"" => [""C01013"", ""C00010""], ""MEAN_MA"" => 27.25, ""DIFF"" => 2, ""EQUATION"" => ""C01013 + C00010 <=> C05668 + C00001"", ""RCLASS"" => Any[""RC00004"", ""RC00014""])"
rn:R00910,"Dict{String, Any}(""MA_IN"" => Any[20, 6, 4], ""MAIN_PAIRS"" => Any[""RC00002:C00002_C00008"", ""RC00064:C00047_C05341"", ""RC00090:C00099_C05341""], ""ENZYME"" => 6, ""MA_OUT"" => Any[19, 9], ""OUT"" => [""C00008"", ""C00009"", ""C05341""], ""IN"" => [""C00002"", ""C00047"", ""C00099""], ""MEAN_MA"" => 12.0, ""DIFF"" => -2, ""EQUATION"" => ""C00002 + C00047 + C00099 <=> C00008 + C00009 + C05341"", ""RCLASS"" => Any[""RC00002"", ""RC00064"", ""RC00090""])"
rn:R00233,"Dict{String, Any}(""MA_IN"" => Any[39], ""MAIN_PAIRS"" => Any[""RC00040:C00024_C00083""], ""ENZYME"" => 4, ""MA_OUT"" => Any[37], ""OUT"" => [""C00024"", ""C00011""], ""IN"" => [""C00083""], ""MEAN_MA"" => 38.0, ""DIFF"" => -2, ""EQUATION"" => ""C00083 <=> C00024 + C00011"", ""RCLASS"" => Any[""RC00040""])"
rn:R00705,"Dict{String, Any}(""MA_IN"" => Any[3, 32, 33], ""MAIN_PAIRS"" => Any[""RC00001:C00003_C00004"", ""RC00004:C00010_C00024"", ""RC02723:C00024_C00222""], ""ENZYME"" => 1, ""MA_OUT"" => Any[37, 30], ""OUT"" => [""C00024"", ""C00011"", ""C00004"", ""C00080""], ""IN"" => [""C00222"", ""C00010"", ""C00003""], ""MEAN_MA"" => 28.083333333333336, ""DIFF"" => -1, ""EQUATION"" => ""C00222 + C00010 + C00003 <=> C00024 + C00011 + C00004 + C00080"", ""RCLASS"" => Any[""RC00001"", ""RC00004"", ""RC02723""])"
