super_pathway,median
Carbohydrate metabolism,2.0
Energy metabolism,1.0
Lipid metabolism,2.0
Nucleotide metabolism,2.0
Amino acid metabolism,1.0
Metabolism of other amino acids,2.0
Metabolism of cofactors & vitamins,2.0
Xenobiotics biodegradation & metabolism,2.0
Biosynthesis of secondary metabolites,2.0
