cpd,ma
C00001,1.0
C00002,20.0
C00003,33.0
C00004,30.0
C00005,31.0
C00006,33.0
C00007,0.0
C00008,19.0
C00009,3.0
C00010,32.0
C00011,1.0
C00013,4.0
C00014,1.0
C00015,16.0
C00016,40.0
C00019,20.0
C00020,17.0
C00021,19.0
C00022,3.0
C00025,5.0
C00027,0.0
C00029,22.0
C00031,6.0
C00033,2.0
C00035,19.0
C00036,4.0
C00037,3.0
C00039,18.0
C00041,4.0
C00042,4.0
C00043,25.0
C00044,20.0
C00046,23.0
C00047,6.0
C00049,5.0
C00051,11.0
C00055,17.0
C00058,1.0
C00060,2.0
C00062,9.0
C00063,20.0
C00064,6.0
C00065,4.0
C00066,17.0
C00068,18.0
C00069,0.0
C00073,7.0
C00074,8.0
C00075,17.0
C00077,6.0
C00078,11.0
C00079,9.0
C00080,1.0
C00081,20.0
C00082,9.0
C00085,10.0
C00089,8.0
C00091,40.0
C00092,10.0
C00093,7.0
C00095,6.0
C00096,26.0
C00097,5.0
C00101,19.0
C00103,10.0
C00104,19.0
C00105,15.0
C00108,7.0
C00111,7.0
C00112,18.0
C00114,4.0
C00117,9.0
C00118,7.0
C00119,10.0
C00121,5.0
C00122,4.0
C00123,6.0
C00127,23.0
C00129,9.0
C00130,17.0
C00131,19.0
C00133,4.0
C00135,9.0
C00143,22.0
C00144,18.0
C00147,7.0
C00148,6.0
C00149,4.0
C00153,7.0
C00163,3.0
C00166,8.0
C00170,14.0
C00183,5.0
C00185,7.0
C00188,5.0
C00189,2.0
C00196,7.0
C00197,8.0
C00199,9.0
C00201,11.0
C00206,18.0
C00208,7.0
C00212,13.0
C00214,12.0
C00217,5.0
C00221,6.0
C00227,6.0
C00231,9.0
C00234,22.0
C00235,9.0
C00236,8.0
C00239,17.0
C00240,21.0
C00241,2.0
C00242,8.0
C00253,7.0
C00254,9.0
C00262,7.0
C00267,6.0
C00269,24.0
C00272,11.0
C00275,10.0
C00279,8.0
C00286,21.0
C00288,2.0
C00294,13.0
C00295,8.0
C00299,11.0
C00320,3.0
C00327,9.0
C00328,10.0
C00330,14.0
C00337,8.0
C00342,12.0
C00343,13.0
C00345,10.0
C00352,10.0
C00354,10.0
C00360,17.0
C00361,19.0
C00362,18.0
C00363,17.0
C00364,16.0
C00365,15.0
C00369,9.0
C00385,8.0
C00387,14.0
C00389,11.0
C00390,11.0
C00399,11.0
C00407,6.0
C00415,22.0
C00416,10.0
C00437,8.0
C00445,22.0
C00447,10.0
C00448,12.0
C00454,10.0
C00455,17.0
C00458,19.0
C00459,19.0
C00460,17.0
C00475,13.0
C00490,5.0
C00504,22.0
C00509,11.0
C00526,11.0
C00531,39.0
C00559,13.0
C00561,7.0
C00575,16.0
C00577,3.0
C00620,9.0
C00625,9.0
C00636,10.0
C00645,9.0
C00655,18.0
C00668,10.0
C00669,8.0
C00670,10.0
C00672,9.0
C00673,9.0
C00677,11.0
C00680,6.0
C00686,13.0
C00692,38.0
C00700,21.0
C00704,0.0
C00705,18.0
C00718,7.0
C00721,9.0
C00787,NaN
C00821,34.0
C00826,9.0
C00844,13.0
C00857,29.0
C00868,33.0
C00881,13.0
C00886,26.0
C00911,5.0
C00942,17.0
C00963,7.0
C00965,7.0
C00993,6.0
C01042,7.0
C01044,7.0
C01050,29.0
C01083,7.0
C01094,10.0
C01170,26.0
C01172,10.0
C01185,16.0
C01212,33.0
C01217,38.0
C01228,20.0
C01233,8.0
C01236,10.0
C01302,17.0
C01335,0.0
C01344,19.0
C01345,20.0
C01346,16.0
C01419,7.0
C01528,1.0
C01594,10.0
C01635,NaN
C01636,NaN
C01638,NaN
C01639,NaN
C01640,NaN
C01641,NaN
C01642,NaN
C01643,NaN
C01644,NaN
C01645,NaN
C01646,NaN
C01647,NaN
C01648,NaN
C01649,NaN
C01650,NaN
C01651,NaN
C01652,NaN
C01653,NaN
C01762,14.0
C01801,5.0
C01898,17.0
C01931,25.0
C01935,15.0
C01977,37.0
C02047,40.0
C02084,5.0
C02090,25.0
C02128,19.0
C02163,40.0
C02282,38.0
C02336,6.0
C02412,23.0
C02430,39.0
C02520,9.0
C02553,27.0
C02554,38.0
C02583,8.0
C02659,4.0
C02700,12.0
C02702,30.0
C02715,8.0
C02743,8.0
C02780,6.0
C02839,43.0
C02876,7.0
C02953,13.0
C02962,10.0
C02984,26.0
C02987,38.0
C02988,33.0
C02992,28.0
C03023,10.0
C03028,20.0
C03120,8.0
C03125,38.0
C03127,39.0
C03150,13.0
C03170,27.0
C03287,9.0
C03294,38.0
C03391,34.0
C03402,29.0
C03406,11.0
C03511,32.0
C03512,44.0
C03523,6.0
C03617,33.0
C03633,9.0
C03723,10.0
C03742,7.0
C03798,9.0
C03838,13.0
C03880,30.0
C03892,12.0
C03895,11.0
C04051,8.0
C04153,38.0
C04157,38.0
C04160,38.0
C04171,7.0
C04188,10.0
C04232,10.0
C04242,16.0
C04257,13.0
C04258,34.0
C04302,16.0
C04376,13.0
C04377,36.0
C04394,21.0
C04432,38.0
C04494,23.0
C04574,31.0
C04631,30.0
C04646,18.0
C04677,18.0
C04702,49.0
C04851,68.0
C04877,43.0
C04882,49.0
C05143,13.0
C05335,7.0
C05336,39.0
C05345,10.0
C05359,NaN
C05378,10.0
C05382,10.0
C05512,13.0
C05526,14.0
C05623,18.0
C05648,13.0
C05651,11.0
C05653,9.0
C05684,2.0
C05691,20.0
C05703,0.0
C05712,4.0
C05713,10.0
C05726,6.0
C05729,8.0
C05838,7.0
C05839,12.0
C05841,12.0
C05892,44.0
C05893,74.0
