cpd,ma
C00001,1.0
C00002,20.0
C00003,33.0
C00004,30.0
C00005,31.0
C00006,33.0
C00007,0.0
C00008,19.0
C00009,3.0
C00010,32.0
C00011,1.0
C00013,4.0
C00014,1.0
C00015,16.0
C00016,40.0
C00018,13.0
C00019,20.0
C00020,17.0
C00021,19.0
C00022,3.0
C00024,37.0
C00025,5.0
C00027,0.0
C00029,22.0
C00031,6.0
C00033,2.0
C00035,19.0
C00037,3.0
C00039,18.0
C00040,37.0
C00041,4.0
C00043,25.0
C00044,20.0
C00046,23.0
C00047,6.0
C00049,5.0
C00053,22.0
C00054,18.0
C00055,17.0
C00058,1.0
C00060,2.0
C00062,9.0
C00063,20.0
C00064,6.0
C00065,4.0
C00066,17.0
C00068,18.0
C00073,7.0
C00074,8.0
C00075,17.0
C00077,6.0
C00078,11.0
C00079,9.0
C00080,1.0
C00081,20.0
C00082,9.0
C00085,10.0
C00087,1.0
C00092,10.0
C00093,7.0
C00095,6.0
C00097,5.0
C00100,37.0
C00101,19.0
C00104,19.0
C00105,15.0
C00109,4.0
C00111,7.0
C00112,18.0
C00114,4.0
C00116,3.0
C00117,9.0
C00118,7.0
C00119,10.0
C00123,6.0
C00129,9.0
C00130,17.0
C00131,19.0
C00132,0.0
C00133,4.0
C00135,9.0
C00136,37.0
C00137,4.0
C00140,9.0
C00143,22.0
C00144,18.0
C00147,7.0
C00148,6.0
C00152,6.0
C00153,7.0
C00154,42.0
C00155,6.0
C00157,14.0
C00160,3.0
C00163,3.0
C00167,24.0
C00169,6.0
C00170,14.0
C00173,5.0
C00180,6.0
C00183,5.0
C00185,7.0
C00186,3.0
C00188,5.0
C00197,8.0
C00199,9.0
C00201,11.0
C00206,18.0
C00208,7.0
C00212,13.0
C00214,12.0
C00217,5.0
C00224,20.0
C00227,6.0
C00229,0.0
C00234,22.0
C00235,9.0
C00236,8.0
C00239,17.0
C00240,21.0
C00241,2.0
C00242,8.0
C00249,7.0
C00250,9.0
C00253,7.0
C00262,7.0
C00269,24.0
C00275,10.0
C00279,8.0
C00283,1.0
C00286,21.0
C00288,2.0
C00294,13.0
C00299,11.0
C00314,8.0
C00327,9.0
C00330,14.0
C00332,39.0
C00345,10.0
C00352,10.0
C00354,10.0
C00356,41.0
C00357,13.0
C00360,17.0
C00361,19.0
C00363,17.0
C00364,16.0
C00365,15.0
C00378,13.0
C00385,8.0
C00387,14.0
C00390,11.0
C00399,11.0
C00407,6.0
C00416,10.0
C00418,5.0
C00445,22.0
C00447,10.0
C00448,12.0
C00454,10.0
C00455,17.0
C00458,19.0
C00459,19.0
C00460,17.0
C00475,13.0
C00526,11.0
C00534,9.0
C00546,2.0
C00559,13.0
C00577,3.0
C00605,38.0
C00613,11.0
C00614,10.0
C00615,12.0
C00617,24.0
C00620,9.0
C00627,12.0
C00631,8.0
C00636,10.0
C00638,4.0
C00641,6.0
C00647,13.0
C00655,18.0
C00668,10.0
C00672,9.0
C00677,11.0
C00680,6.0
C00681,10.0
C00686,13.0
C00692,38.0
C00700,21.0
C00704,0.0
C00705,18.0
C00718,7.0
C00787,NaN
C00831,9.0
C00857,29.0
C00864,9.0
C00868,33.0
C00881,13.0
C00882,31.0
C00886,26.0
C00957,4.0
C00988,7.0
C00993,6.0
C01050,29.0
C01081,18.0
C01094,10.0
C01097,10.0
C01107,9.0
C01132,9.0
C01134,13.0
C01143,10.0
C01151,9.0
C01159,8.0
C01172,10.0
C01177,8.0
C01185,16.0
C01212,33.0
C01217,38.0
C01228,20.0
C01236,10.0
C01240,9.0
C01290,27.0
C01344,19.0
C01345,20.0
C01346,16.0
C01352,41.0
C01367,17.0
C01368,15.0
C01432,3.0
C01635,NaN
C01636,NaN
C01637,NaN
C01638,NaN
C01639,NaN
C01641,NaN
C01642,NaN
C01643,NaN
C01644,NaN
C01645,NaN
C01646,NaN
C01647,NaN
C01648,NaN
C01649,NaN
C01650,NaN
C01652,NaN
C01653,NaN
C01674,10.0
C01762,14.0
C01931,25.0
C01977,37.0
C02047,40.0
C02128,19.0
C02133,6.0
C02163,40.0
C02188,9.0
C02211,17.0
C02282,38.0
C02353,17.0
C02354,17.0
C02355,15.0
C02412,23.0
C02430,39.0
C02553,27.0
C02554,38.0
C02583,8.0
C02702,30.0
C02713,11.0
C02743,8.0
C02764,32.0
C02839,43.0
C02843,38.0
C02876,7.0
C02962,10.0
C02984,26.0
C02987,38.0
C02988,33.0
C02995,14.0
C02999,12.0
C03028,20.0
C03089,6.0
C03125,38.0
C03127,39.0
C03150,13.0
C03272,42.0
C03294,38.0
C03344,39.0
C03356,9.0
C03402,29.0
C03405,31.0
C03419,9.0
C03492,13.0
C03511,32.0
C03512,44.0
C03523,6.0
C03539,11.0
C03546,8.0
C03617,33.0
C03688,NaN
C03785,10.0
C03880,30.0
C03892,12.0
C04006,8.0
C04051,8.0
C04079,11.0
C04132,12.0
C04136,13.0
C04142,11.0
C04146,24.0
C04153,38.0
C04157,38.0
C04188,10.0
C04242,16.0
C04257,13.0
C04258,34.0
C04261,15.0
C04262,16.0
C04309,9.0
C04352,15.0
C04377,36.0
C04432,38.0
C04494,23.0
C04534,15.0
C04545,38.0
C04574,31.0
C04631,30.0
C04646,18.0
C04677,18.0
C04702,49.0
C04730,41.0
C04737,31.0
C04851,68.0
C04877,43.0
C04882,49.0
C04884,50.0
C05198,12.0
C05269,39.0
C05335,7.0
C05336,39.0
C05345,10.0
C05378,10.0
C05382,10.0
C05512,13.0
C05691,20.0
C05822,17.0
C05823,4.0
C05841,12.0
C05892,44.0
