cpd,ma
C00001,1.0
C00002,20.0
C00003,32.0
C00004,30.0
C00005,31.0
C00006,33.0
C00008,18.0
C00009,3.0
C00011,1.0
C00013,4.0
C00014,1.0
C00015,16.0
C00017,6.0
C00019,20.0
C00020,17.0
C00021,19.0
C00022,3.0
C00025,5.0
C00026,5.0
C00027,0.0
C00028,NaN
C00030,NaN
C00035,19.0
C00037,3.0
C00039,18.0
C00041,4.0
C00042,4.0
C00043,25.0
C00044,20.0
C00046,23.0
C00047,6.0
C00049,5.0
C00051,11.0
C00058,1.0
C00062,9.0
C00063,20.0
C00064,6.0
C00065,4.0
C00066,17.0
C00068,18.0
C00073,7.0
C00075,18.0
C00078,11.0
C00079,9.0
C00080,1.0
C00081,20.0
C00082,9.0
C00086,2.0
C00097,5.0
C00101,20.0
C00103,10.0
C00104,19.0
C00105,15.0
C00109,4.0
C00110,18.0
C00112,18.0
C00123,6.0
C00131,19.0
C00134,3.0
C00135,9.0
C00141,5.0
C00143,22.0
C00144,18.0
C00148,6.0
C00160,3.0
C00161,4.0
C00166,8.0
C00170,14.0
C00179,6.0
C00183,5.0
C00188,5.0
C00201,11.0
C00206,18.0
C00233,6.0
C00251,9.0
C00254,9.0
C00286,21.0
C00315,5.0
C00340,4.0
C00342,12.0
C00343,13.0
C00360,17.0
C00361,19.0
C00363,17.0
C00364,16.0
C00365,15.0
C00407,6.0
C00435,6.0
C00454,10.0
C00455,17.0
C00458,19.0
C00459,19.0
C00460,17.0
C00562,NaN
C00621,19.0
C00666,6.0
C00671,6.0
C00677,11.0
C00685,5.0
C00704,0.0
C00705,18.0
C00787,NaN
C00826,9.0
C00842,24.0
C00868,33.0
C00886,26.0
C00986,2.0
C00988,7.0
C01271,6.0
C01335,0.0
C01344,18.0
C01345,19.0
C01346,16.0
C01419,7.0
C01528,1.0
C01573,16.0
C01609,NaN
C01635,NaN
C01636,NaN
C01637,NaN
C01638,NaN
C01639,NaN
C01641,NaN
C01642,NaN
C01643,NaN
C01644,NaN
C01645,NaN
C01646,NaN
C01647,NaN
C01648,NaN
C01649,NaN
C01650,NaN
C01651,NaN
C01652,NaN
C01653,NaN
C01764,33.0
C01931,25.0
C01977,37.0
C02047,40.0
C02128,19.0
C02163,40.0
C02211,17.0
C02282,38.0
C02342,NaN
C02356,5.0
C02412,23.0
C02430,39.0
C02553,27.0
C02554,38.0
C02583,8.0
C02702,30.0
C02729,NaN
C02743,8.0
C02764,32.0
C02839,43.0
C02984,26.0
C02987,38.0
C02988,33.0
C02992,28.0
C03021,8.0
C03028,20.0
C03125,38.0
C03127,39.0
C03402,29.0
C03446,33.0
C03511,32.0
C03512,44.0
C03523,6.0
C03633,9.0
C03798,9.0
C03800,9.0
C03802,11.0
C03880,30.0
C04157,38.0
C04161,NaN
C04213,39.0
C04250,34.0
C04312,22.0
C04421,9.0
C04441,16.0
C04500,31.0
C04618,6.0
C04619,8.0
C04620,8.0
C04633,9.0
C04688,9.0
C04692,15.0
C05167,4.0
C05196,NaN
C05197,6.0
C05198,12.0
C05199,NaN
C05312,6.0
C05335,7.0
C05336,39.0
C05526,14.0
C05684,2.0
C05703,0.0
C05726,6.0
C05729,8.0
C05744,5.0
C05746,6.0
C05747,7.0
C05750,7.0
C05753,8.0
C05756,9.0
C05757,10.0
C05759,9.0
C05762,9.0
C06112,39.0
C06113,25.0
C06481,24.0
C07281,9.0
C07282,11.0
C11038,18.0
C11039,21.0
C11475,34.0
C11572,26.0
C15498,1.0
C15810,6.0
C15811,8.0
C15812,9.0
C15813,23.0
C15814,6.0
C15853,6.0
C15854,12.0
C16219,9.0
C16220,9.0
C16636,NaN
C16720,16.0
C17023,NaN
C17324,36.0
C18902,2.0
C19078,32.0
C19080,41.0
C19085,59.0
C20372,8.0
C20373,8.0
C20376,8.0
C20377,9.0
C20641,23.0
C20649,44.0
C20652,43.0
C20663,12.0
C20688,37.0
C20691,39.0
C20751,42.0
C20752,44.0
C20754,43.0
C20858,9.0
C20864,28.0
C21031,32.0
C21652,15.0
C21748,17.0
C21749,20.0
C21750,17.0
C21751,19.0
C22442,19.0
C22443,19.0
