cpd,ma
C00001,1.0
C00002,20.0
C00003,33.0
C00004,30.0
C00005,31.0
C00006,33.0
C00007,0.0
C00008,19.0
C00009,3.0
C00010,32.0
C00011,1.0
C00013,4.0
C00014,1.0
C00015,16.0
C00017,6.0
C00019,20.0
C00020,17.0
C00021,19.0
C00022,3.0
C00024,37.0
C00025,5.0
C00026,5.0
C00027,0.0
C00028,NaN
C00029,22.0
C00030,NaN
C00031,6.0
C00033,2.0
C00035,19.0
C00036,4.0
C00037,3.0
C00039,18.0
C00041,4.0
C00042,4.0
C00043,25.0
C00044,20.0
C00046,23.0
C00047,6.0
C00048,3.0
C00049,5.0
C00051,11.0
C00055,17.0
C00058,1.0
C00062,9.0
C00063,20.0
C00064,6.0
C00065,4.0
C00066,17.0
C00068,18.0
C00073,7.0
C00074,8.0
C00075,17.0
C00078,11.0
C00079,9.0
C00080,1.0
C00081,20.0
C00082,9.0
C00086,2.0
C00092,10.0
C00094,2.0
C00097,5.0
C00100,37.0
C00103,10.0
C00104,19.0
C00105,15.0
C00108,7.0
C00109,4.0
C00110,18.0
C00112,18.0
C00117,9.0
C00119,10.0
C00122,4.0
C00123,6.0
C00129,9.0
C00130,17.0
C00131,19.0
C00134,3.0
C00135,9.0
C00136,37.0
C00141,5.0
C00144,18.0
C00147,7.0
C00148,6.0
C00149,4.0
C00152,6.0
C00160,3.0
C00161,4.0
C00163,3.0
C00170,14.0
C00179,6.0
C00183,5.0
C00186,3.0
C00188,5.0
C00194,77.0
C00198,6.0
C00199,9.0
C00201,11.0
C00204,7.0
C00206,18.0
C00214,12.0
C00221,6.0
C00233,6.0
C00235,9.0
C00237,0.0
C00239,17.0
C00248,8.0
C00251,9.0
C00254,9.0
C00257,6.0
C00266,2.0
C00267,6.0
C00283,1.0
C00286,21.0
C00288,2.0
C00301,23.0
C00315,5.0
C00320,3.0
C00328,10.0
C00332,39.0
C00341,11.0
C00342,12.0
C00343,13.0
C00345,10.0
C00353,15.0
C00356,41.0
C00360,17.0
C00361,19.0
C00363,17.0
C00364,16.0
C00365,15.0
C00378,13.0
C00389,11.0
C00390,11.0
C00399,11.0
C00407,6.0
C00418,5.0
C00424,3.0
C00448,12.0
C00454,10.0
C00458,19.0
C00459,19.0
C00460,17.0
C00526,11.0
C00536,5.0
C00541,61.0
C00546,2.0
C00562,NaN
C00575,16.0
C00577,3.0
C00579,7.0
C00613,11.0
C00623,7.0
C00655,18.0
C00666,6.0
C00668,10.0
C00671,6.0
C00677,11.0
C00700,21.0
C00703,1.0
C00704,0.0
C00705,18.0
C00740,4.0
C00787,NaN
C00821,34.0
C00853,60.0
C00880,6.0
C00886,26.0
C00942,17.0
C00986,2.0
C00988,7.0
C01005,8.0
C01079,22.0
C01081,18.0
C01083,7.0
C01137,18.0
C01172,10.0
C01179,9.0
C01216,7.0
C01260,30.0
C01261,33.0
C01304,17.0
C01319,1.0
C01335,0.0
C01337,20.0
C01344,19.0
C01345,20.0
C01346,16.0
C01353,2.0
C01384,4.0
C01432,3.0
C01528,1.0
C01573,16.0
C01609,NaN
C01635,NaN
C01636,NaN
C01637,NaN
C01638,NaN
C01639,NaN
C01641,NaN
C01642,NaN
C01643,NaN
C01644,NaN
C01645,NaN
C01646,NaN
C01647,NaN
C01648,NaN
C01649,NaN
C01650,NaN
C01651,NaN
C01652,NaN
C01653,NaN
C01931,25.0
C01977,37.0
C02047,40.0
C02051,9.0
C02084,5.0
C02090,25.0
C02163,40.0
C02188,9.0
C02211,17.0
C02282,38.0
