cpd,ma
C00001,1.0
C00002,20.0
C00003,33.0
C00004,30.0
C00005,31.0
C00006,33.0
C00007,0.0
C00008,19.0
C00009,3.0
C00010,32.0
C00011,1.0
C00012,6.0
C00013,4.0
C00014,1.0
C00015,16.0
C00016,40.0
C00017,6.0
C00019,20.0
C00020,17.0
C00021,19.0
C00022,3.0
C00024,37.0
C00025,5.0
C00027,0.0
C00028,NaN
C00029,22.0
C00030,NaN
C00031,6.0
C00033,2.0
C00035,19.0
C00037,3.0
C00039,18.0
C00040,37.0
C00041,4.0
C00043,25.0
C00044,20.0
C00045,4.0
C00046,23.0
C00047,6.0
C00049,5.0
C00051,11.0
C00055,17.0
C00060,2.0
C00062,9.0
C00063,20.0
C00064,6.0
C00065,4.0
C00066,17.0
C00068,18.0
C00069,0.0
C00073,7.0
C00074,8.0
C00075,17.0
C00078,11.0
C00079,9.0
C00080,1.0
C00081,20.0
C00082,9.0
C00085,10.0
C00090,5.0
C00091,40.0
C00092,10.0
C00093,7.0
C00095,6.0
C00096,26.0
C00097,5.0
C00100,37.0
C00101,19.0
C00103,10.0
C00104,19.0
C00110,18.0
C00111,7.0
C00112,18.0
C00114,4.0
C00116,3.0
C00117,9.0
C00118,7.0
C00123,6.0
C00124,6.0
C00129,9.0
C00130,17.0
C00131,19.0
C00135,9.0
C00136,37.0
C00137,4.0
C00143,22.0
C00144,18.0
C00145,0.0
C00148,6.0
C00151,4.0
C00152,6.0
C00154,42.0
C00157,14.0
C00159,6.0
C00162,2.0
C00163,3.0
C00170,14.0
C00181,5.0
C00183,5.0
C00188,5.0
C00189,2.0
C00195,13.0
C00197,8.0
C00199,9.0
C00201,11.0
C00206,18.0
C00214,12.0
C00221,6.0
C00226,1.0
C00231,9.0
C00235,9.0
C00236,8.0
C00239,17.0
C00242,8.0
C00245,5.0
C00249,7.0
C00256,3.0
C00259,5.0
C00264,39.0
C00267,6.0
C00269,24.0
C00272,11.0
C00275,10.0
C00279,8.0
C00286,21.0
C00288,2.0
C00315,5.0
C00319,10.0
C00329,6.0
C00332,39.0
C00339,1.0
C00341,11.0
C00342,12.0
C00343,13.0
C00345,10.0
C00346,6.0
C00350,12.0
C00352,10.0
C00354,10.0
C00355,10.0
C00356,41.0
C00357,13.0
C00360,17.0
C00361,19.0
C00362,18.0
C00363,17.0
C00364,16.0
C00365,15.0
C00379,4.0
C00390,11.0
C00399,11.0
C00404,5.0
C00407,6.0
C00415,22.0
C00416,10.0
C00418,5.0
C00419,21.0
C00422,6.0
C00447,10.0
C00448,12.0
C00454,10.0
C00455,17.0
C00458,19.0
C00459,19.0
C00460,17.0
C00461,10.0
C00472,4.0
C00473,10.0
C00483,7.0
C00496,NaN
C00498,24.0
C00504,22.0
C00512,38.0
C00526,11.0
C00527,39.0
C00530,5.0
C00532,4.0
C00546,2.0
C00562,NaN
C00570,19.0
C00575,16.0
C00577,3.0
C00583,2.0
C00585,13.0
C00605,38.0
C00620,9.0
C00631,8.0
C00636,10.0
C00638,4.0
C00641,6.0
C00655,18.0
C00662,NaN
C00667,NaN
C00668,10.0
C00670,10.0
C00672,9.0
C00673,9.0
C00677,11.0
C00689,11.0
C00700,21.0
C00704,0.0
C00705,18.0
C00717,3.0
C00738,6.0
C00787,NaN
C00794,5.0
C00811,7.0
C00822,9.0
C00836,8.0
C00868,33.0
C00882,31.0
C00886,26.0
C00899,10.0
C00942,17.0
C00986,2.0
C01083,7.0
C01094,10.0
C01096,9.0
C01097,10.0
C01107,9.0
C01117,9.0
