cpd,ma
C00001,1.0
C00002,20.0
C00003,33.0
C00004,30.0
C00005,31.0
C00006,33.0
C00007,0.0
C00008,19.0
C00009,3.0
C00010,32.0
C00011,1.0
C00013,4.0
C00014,1.0
C00015,16.0
C00016,40.0
C00017,6.0
C00019,20.0
C00020,17.0
C00021,19.0
C00022,3.0
C00024,37.0
C00025,5.0
C00026,5.0
C00027,0.0
C00028,NaN
C00029,22.0
C00030,NaN
C00031,6.0
C00033,2.0
C00035,19.0
C00036,4.0
C00037,3.0
C00039,18.0
C00041,4.0
C00042,4.0
C00043,25.0
C00044,20.0
C00046,23.0
C00047,6.0
C00049,5.0
C00051,11.0
C00052,23.0
C00053,22.0
C00054,18.0
C00055,17.0
C00059,2.0
C00061,22.0
C00062,9.0
C00063,20.0
C00064,6.0
C00065,4.0
C00066,17.0
C00068,18.0
C00073,7.0
C00074,8.0
C00075,17.0
C00078,11.0
C00079,9.0
C00080,1.0
C00081,20.0
C00082,9.0
C00085,10.0
C00091,40.0
C00092,10.0
C00094,2.0
C00095,6.0
C00096,26.0
C00097,5.0
C00100,37.0
C00101,19.0
C00103,10.0
C00104,19.0
C00105,15.0
C00109,4.0
C00110,18.0
C00111,7.0
C00112,18.0
C00117,9.0
C00118,7.0
C00123,6.0
C00129,9.0
C00130,17.0
C00131,19.0
C00135,9.0
C00137,4.0
C00143,22.0
C00144,18.0
C00148,6.0
C00149,4.0
C00158,6.0
C00160,3.0
C00161,4.0
C00163,3.0
C00166,8.0
C00167,24.0
C00170,14.0
C00183,5.0
C00185,7.0
C00188,5.0
C00194,77.0
C00197,8.0
C00201,11.0
C00203,26.0
C00206,18.0
C00208,7.0
C00221,6.0
C00224,20.0
C00235,9.0
C00236,8.0
C00239,17.0
C00240,21.0
C00248,8.0
C00251,9.0
C00254,9.0
C00255,19.0
C00256,3.0
C00267,6.0
C00268,12.0
C00272,11.0
C00275,10.0
C00279,8.0
C00286,21.0
C00288,2.0
C00302,5.0
C00315,5.0
C00329,6.0
C00342,12.0
C00343,13.0
C00352,10.0
C00354,10.0
C00360,17.0
C00361,19.0
C00363,17.0
C00364,16.0
C00365,15.0
C00369,9.0
C00389,11.0
C00392,5.0
C00407,6.0
C00415,22.0
C00441,5.0
C00447,10.0
C00454,10.0
C00455,17.0
C00458,19.0
C00459,19.0
C00460,17.0
C00490,5.0
C00504,22.0
C00506,8.0
C00509,11.0
C00531,39.0
C00536,5.0
C00541,61.0
C00546,2.0
C00561,7.0
C00562,NaN
C00566,42.0
C00577,3.0
C00579,7.0
C00585,13.0
C00586,5.0
C00606,7.0
C00620,9.0
C00631,8.0
C00636,10.0
C00644,9.0
C00655,18.0
C00666,6.0
C00668,10.0
C00677,11.0
C00700,21.0
C00704,0.0
C00705,18.0
C00718,7.0
C00721,9.0
C00741,3.0
C00787,NaN
C00794,5.0
C00821,34.0
C00826,9.0
C00842,24.0
C00844,13.0
C00846,5.0
C00853,60.0
C00856,32.0
C00857,29.0
C00886,26.0
C00934,NaN
C00957,4.0
C00963,7.0
C00986,2.0
C00988,7.0
C01094,10.0
C01096,9.0
C01151,9.0
C01167,17.0
C01171,10.0
C01172,10.0
C01177,8.0
C01179,9.0
C01185,16.0
C01217,38.0
C01236,10.0
C01260,30.0
C01335,0.0
C01344,19.0
C01345,20.0
C01346,16.0
C01353,2.0
C01528,1.0
C01573,16.0
C01594,10.0
C01609,NaN
C01635,NaN
C01636,NaN
C01639,NaN
C01641,NaN
C01642,NaN
C01643,NaN
C01644,NaN
